STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;2654.77490234375;0.0;2783.12060546875;19020.21484375;5135.9619140625;4023.330078125;26184.654296875;13219.3798828125;73020.9453125
1;2282.357421875;0.0;2632.742919921875;19782.548828125;4845.24267578125;4346.2353515625;24867.58984375;12319.736328125;71076.140625
2;2490.279052734375;0.0;2779.982666015625;19550.291015625;4985.57373046875;4275.06396484375;25401.455078125;13465.5654296875;72948.0625
3;2578.28515625;0.0;2822.61767578125;19274.0625;5108.4677734375;4064.84130859375;25299.138671875;13535.794921875;72682.9765625
4;2396.093505859375;0.0;2736.318359375;19410.7109375;5062.34716796875;4507.353515625;24861.328125;12280.1650390625;71253.9375
5;2657.060302734375;0.0;2677.951171875;19063.970703125;5202.11083984375;4241.775390625;24782.73046875;12323.2626953125;70948.5859375
6;2694.7744140625;0.0;2986.97021484375;19930.197265625;5021.81787109375;4120.21484375;24696.70703125;13017.123046875;72467.4609375
7;2382.005126953125;0.0;2489.0595703125;19240.328125;4752.61279296875;4280.53857421875;25374.146484375;11774.3603515625;70292.5859375
8;2510.090576171875;0.7059987783432007;2758.829833984375;19049.607421875;4999.22802734375;4219.36572265625;24969.515625;12628.7578125;71135.4296875
9;2439.326416015625;0.0;2697.906494140625;19386.970703125;4868.23974609375;4037.9248046875;25502.4765625;12274.4638671875;71206.984375
10;2772.511962890625;0.0;2931.312744140625;19939.57421875;4801.41064453125;3833.33740234375;24685.99609375;12342.09765625;71305.6640625
11;2869.54248046875;0.2353329360485077;2796.685546875;19555.89453125;4909.72802734375;4245.46484375;24601.83984375;11746.3427734375;70725.46875
12;2358.136474609375;0.0;2653.216796875;18905.3125;4759.73193359375;4168.93212890625;25250.501953125;10665.4638671875;68760.78125
13;2503.883544921875;0.0;2796.038330078125;19239.357421875;5020.7880859375;4037.027587890625;25462.341796875;11366.9365234375;70425.921875
14;2468.065185546875;0.0;2847.07666015625;19822.30078125;5182.17333984375;4127.373046875;25312.31640625;11283.1123046875;71042.09375
15;2549.863037109375;0.0;2538.999267578125;18924.35546875;4903.7265625;4392.1640625;25108.916015625;11786.814453125;70204.4375
16;2613.463623046875;0.2353329360485077;2633.323974609375;18552.70703125;4842.3515625;4421.578125;25304.919921875;10816.525390625;69184.6484375
17;2603.551513671875;0.0;2569.91748046875;18600.052734375;5347.5224609375;4006.83544921875;25806.40234375;11938.365234375;70872.328125
18;2498.10400390625;0.0;3022.9501953125;19037.98046875;4673.888671875;4236.3095703125;24928.62109375;11735.783203125;70133.2109375
19;2595.8701171875;0.0;2644.3486328125;18913.029296875;4677.42578125;4216.19482421875;25516.259765625;11191.767578125;69754.640625
20;2262.49658203125;0.0;2670.193603515625;18893.50390625;4613.4453125;4215.06005859375;25545.03125;11371.33203125;69570.578125
21;2470.334228515625;0.0;2561.153564453125;19272.201171875;4879.2470703125;3988.495361328125;25366.69140625;11250.89453125;69788.5546875
22;2476.09814453125;0.0;2818.14404296875;19643.802734375;4855.78857421875;3994.23193359375;25508.64453125;11455.9033203125;70752.15625
23;2475.791259765625;0.0;2594.4072265625;19809.255859375;4724.31298828125;3719.917724609375;24877.10546875;11891.8134765625;70092.390625
24;2303.632080078125;0.0;2442.96240234375;19272.26953125;5165.708984375;3719.31982421875;25708.623046875;11489.47265625;70101.6796875
