STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;2052.793701171875;1.1766647100448608;2640.068603515625;19980.736328125;4681.6376953125;4357.6904296875;25607.87890625;11717.1015625;71038.78125
1;1918.7728271484375;0.2353329360485077;2464.7822265625;19793.35546875;4439.32177734375;4228.6474609375;24652.919921875;11205.2880859375;68702.8984375
2;1944.3489990234375;0.2353329360485077;2397.6396484375;20527.1640625;4571.3837890625;3875.37841796875;25071.658203125;11230.572265625;69618.1796875
3;1925.7972412109375;0.9413317441940308;2356.326171875;20456.326171875;4766.50732421875;4022.54638671875;24117.1796875;11063.74609375;68708.6796875
4;1771.3961181640625;2.3533294200897217;2412.189453125;20955.0625;4477.61962890625;4064.990966796875;24470.5;10410.1767578125;68564.0390625
5;1710.7730712890625;1.1766645908355713;2684.968994140625;20907.76953125;4406.87353515625;3952.417724609375;24944.9453125;9983.5185546875;68592.046875
6;1529.838623046875;1.4119975566864014;2201.91015625;21526.853515625;4597.3955078125;4048.049560546875;25060.076171875;10151.0048828125;69116.2421875
7;1516.3680419921875;1.8826634883880615;2136.34912109375;20685.94921875;4311.51025390625;3540.824462890625;24912.166015625;9780.3408203125;66885.046875
8;1669.9864501953125;2.3533291816711426;2491.143310546875;21710.208984375;5076.1123046875;3512.105224609375;24826.603515625;10026.876953125;69314.8828125
9;1710.2855224609375;0.2353329360485077;2476.47802734375;21062.005859375;4402.6455078125;3717.912353515625;26189.3828125;9435.3232421875;68994.1484375
10;1471.515869140625;0.2353329360485077;2149.508544921875;20102.259765625;4679.193359375;3894.036865234375;25320.740234375;9038.908203125;66656.1328125
11;1639.48681640625;0.4706658720970154;2279.66748046875;20200.748046875;4399.62060546875;3805.251220703125;25425.662109375;9786.7060546875;67537.390625
12;1650.9678955078125;0.0;2430.706787109375;21398.44140625;4663.986328125;3816.245849609375;24772.8671875;9661.4013671875;68394.1328125
13;1694.7052001953125;0.0;2155.517578125;21062.466796875;4199.70458984375;3577.788818359375;25090.451171875;8886.9287109375;66667.09375
14;1661.215576171875;0.0;2275.900390625;20536.0703125;4746.68603515625;3516.093505859375;25269.755859375;9339.201171875;67344.5703125
15;1363.2236328125;0.0;1961.1353759765625;19914.6875;4727.12109375;3596.929443359375;25609.9375;8929.1875;66101.84375
16;1603.415283203125;0.7059987783432007;2341.74951171875;20326.4453125;4519.400390625;3154.74658203125;25531.623046875;9464.16796875;66941.953125
17;1425.3013916015625;0.2353329360485077;2525.619384765625;20140.361328125;4412.0986328125;3523.88623046875;26106.685546875;8966.75390625;67100.6484375
18;1694.96630859375;0.0;2560.994873046875;20266.7109375;4824.9619140625;3520.464111328125;25320.197265625;9534.9765625;67723.015625
19;1584.8619384765625;0.0;2300.528076171875;20042.455078125;4404.06787109375;3776.132080078125;25275.568359375;8331.076171875;65714.3359375
20;1508.1927490234375;0.0;2428.12744140625;20066.640625;4331.5234375;3407.497314453125;25101.146484375;8768.72265625;65611.34375
21;1470.0673828125;0.2353329360485077;1960.34423828125;20119.2265625;4589.22705078125;3341.93408203125;26002.21875;8910.6875;66393.453125
22;1598.44873046875;0.0;2176.48779296875;19958.412109375;4817.53173828125;3571.431396484375;24962.546875;9055.44140625;66139.7890625
23;1698.5928955078125;0.0;2381.869384765625;20545.240234375;4855.408203125;3461.83740234375;25879.830078125;8813.5166015625;67635.8046875
24;1434.2896728515625;0.2353329360485077;2415.592529296875;20500.451171875;4552.76904296875;3648.97509765625;24739.517578125;9027.830078125;66319.1953125
25;1498.9722900390625;0.0;2197.896728515625;20851.013671875;4934.04931640625;3647.911865234375;25299.818359375;9132.705078125;67561.828125
26;1550.054443359375;0.0;2565.40966796875;21190.75390625;5246.3740234375;3589.976806640625;26173.984375;9518.205078125;69834.3984375
27;1413.1414794921875;0.0;2373.162353515625;21227.671875;5118.818359375;3874.21142578125;25308.708984375;8808.38671875;68123.75
28;1564.73974609375;0.0;2436.0908203125;20674.9921875;4494.54638671875;3397.901123046875;26198.38671875;8584.626953125;67350.90625
29;1608.658203125;0.0;2008.0950927734375;20794.59375;4517.7880859375;3514.0029296875;25613.416015625;8432.69140625;66488.828125
30;1341.79638671875;0.0;2148.411376953125;21100.052734375;4850.224609375;3252.929443359375;25416.685546875;8493.451171875;66603.046875
31;1288.741943359375;0.0;2167.523681640625;21153.998046875;4583.18017578125;3239.810302734375;25466.310546875;8601.6787109375;66500.8359375
32;1705.2222900390625;0.0;2134.539306640625;21279.005859375;4747.943359375;3382.901123046875;25221.953125;8893.791015625;67364.8828125
33;1414.4576416015625;0.0;2300.13916015625;21570.06640625;5095.21044921875;3296.378662109375;25778.0625;9294.4794921875;68748.5859375
34;1741.552001953125;0.0;2225.70556640625;20591.888671875;4783.615234375;3356.552734375;26091.798828125;8740.6025390625;67531.40625
35;1319.349609375;0.0;2176.400390625;21095.36328125;4407.98779296875;3501.4541015625;25712.203125;8875.1513671875;67087.3828125
36;1361.7606201171875;0.0;2291.604736328125;20741.154296875;4662.859375;3430.03076171875;25567.994140625;8798.5126953125;66853.59375
37;1558.7137451171875;0.0;2107.400390625;21246.521484375;5171.59326171875;3455.5712890625;25471.357421875;8807.2900390625;67818.03125
38;1467.8438720703125;0.0;2491.11962890625;21757.509765625;4987.60986328125;3596.92822265625;25509.68359375;9043.4189453125;68853.6796875
39;1513.7474365234375;0.0;2424.204833984375;21531.443359375;4698.779296875;3302.324462890625;25994.392578125;8648.310546875;68112.90625
40;1446.5244140625;0.0;2517.006103515625;21761.8515625;5020.80712890625;3323.995361328125;26271.640625;8782.234375;69123.84375
41;1727.32177734375;0.0;2636.714599609375;21387.1953125;5309.73779296875;3285.570068359375;25905.822265625;8719.4609375;68971.3828125
42;2033.6282958984375;0.4706658720970154;2424.9052734375;20970.115234375;5017.08544921875;3524.669677734375;25695.0078125;8628.4619140625;68294.0
43;1849.364013671875;0.0;2335.18701171875;20735.529296875;4954.8486328125;3288.746337890625;25433.82421875;8203.8759765625;66800.90625
44;1617.2406005859375;0.0;2287.535400390625;21270.78515625;4612.6953125;3554.91796875;25489.583984375;8279.4765625;67111.8203125
45;1445.6324462890625;0.0;2582.338134765625;21224.544921875;4840.1640625;3436.65625;25680.42578125;8133.56982421875;67342.984375
