STEP;C11;NP;OCB;OCC;OCN;ONC;TOTAL
0;2466.047119140625;1.411997675895691;2745.3662109375;30230.263671875;10768.01171875;50713.15234375;96924.328125
1;2532.015869140625;0.9413317441940308;2921.3779296875;30059.857421875;10729.15234375;49845.93359375;96089.4296875
2;2517.000732421875;1.1766647100448608;2859.7158203125;30111.03125;10318.330078125;50066.04296875;95873.8203125
3;2634.054931640625;4.235992908477783;2627.965087890625;28843.2109375;10445.28515625;50291.8359375;94846.5390625
4;2684.138916015625;2.3533291816711426;2706.5478515625;29159.30078125;10850.2080078125;50601.2890625;96004.2890625
5;2690.68212890625;3.059328079223633;2688.40869140625;29901.90625;11112.857421875;49608.4296875;96005.3828125
6;2827.34619140625;4.000659942626953;2979.814453125;31912.5546875;11074.869140625;51363.078125;100162.546875
7;2498.25341796875;1.1766645908355713;2722.646484375;29803.9296875;11006.876953125;49465.26171875;95498.9765625
8;2287.34814453125;0.4706658720970154;2699.123046875;30228.455078125;10960.5859375;50144.625;96321.4765625
9;2436.02734375;1.1766645908355713;2453.283447265625;30505.361328125;11457.5986328125;49523.23828125;96377.2265625
10;2504.675048828125;1.1766647100448608;2462.075439453125;29681.767578125;10762.1162109375;49507.79296875;94919.90625
11;2701.732421875;0.9413317441940308;2561.475341796875;30589.0546875;10716.7470703125;49801.62890625;96372.0859375
12;2531.052734375;0.2353329360485077;2509.578369140625;30632.57421875;10595.4404296875;50318.29296875;96587.7265625
13;2516.02978515625;0.9413317441940308;2773.125244140625;30146.0625;10720.8330078125;49685.25390625;95842.40625
14;2596.15283203125;2.5886621475219727;2628.235107421875;29903.630859375;10706.6015625;50402.39453125;96240.1015625
15;2452.901123046875;1.6473305225372314;2549.986572265625;29388.060546875;10945.5703125;51103.921875;96442.734375
16;2408.100830078125;1.1766645908355713;2067.3564453125;30204.619140625;11167.15234375;50835.05859375;96684.0390625
17;2273.363037109375;3.529994010925293;2442.635498046875;29229.6796875;11115.7158203125;49939.00390625;95004.0546875
18;2455.4189453125;1.8826634883880615;2701.038330078125;28872.876953125;10338.701171875;49603.2109375;93973.671875
19;2405.828857421875;1.1766645908355713;2659.33544921875;29073.005859375;10501.705078125;50364.23828125;95005.578125
20;2725.180419921875;2.3533291816711426;2664.723388671875;30226.607421875;10737.6455078125;50928.703125;97285.3984375
21;2742.909423828125;1.6473305225372314;2774.136962890625;30282.49609375;11027.025390625;50514.125;97342.890625
22;2153.4736328125;1.4119975566864014;2842.714599609375;29334.353515625;10771.2421875;49694.14453125;94797.6953125
23;2136.9638671875;1.6473305225372314;2758.478515625;29242.1328125;11051.0556640625;49958.484375;95149.1015625
24;3011.932861328125;2.823995351791382;2911.83642578125;31100.736328125;10850.396484375;50944.0;98822.171875
25;2959.72314453125;5.647990703582764;3012.29052734375;29550.298828125;11226.326171875;51239.953125;97994.3984375
26;2683.6259765625;2.3533291816711426;3036.214599609375;29340.65625;10825.5498046875;51294.7421875;97183.4609375
27;2995.43505859375;2.5886623859405518;2411.614501953125;28787.478515625;10787.45703125;49896.421875;94881.1875
28;2553.03271484375;0.7059987783432007;2633.577392578125;28271.408203125;10634.08984375;50307.41796875;94400.7109375
29;2494.248046875;1.1766647100448608;2654.59619140625;28876.6796875;10995.50390625;52123.28515625;97146.03125
30;2562.192626953125;2.5886621475219727;2717.491943359375;29320.279296875;10638.3173828125;51102.80078125;96344.296875
31;2388.307373046875;3.294661283493042;2587.48388671875;29378.5703125;10936.4404296875;50701.26953125;95995.765625
32;2095.342041015625;0.0;2543.874267578125;27592.62109375;10525.99609375;49711.9140625;92470.5
33;2451.912841796875;3.529994010925293;2548.706787109375;28801.626953125;10870.140625;52049.19140625;96725.453125
34;2240.111328125;1.1766647100448608;2656.86767578125;29164.279296875;10826.4912109375;50775.1328125;95664.140625
35;2268.700439453125;3.059328079223633;2886.11962890625;29233.24609375;10831.6689453125;50416.63671875;95639.8984375
36;2406.030029296875;0.7059987783432007;3080.228271484375;30336.9921875;11580.119140625;51205.984375;98610.5859375
37;2292.35302734375;3.059328079223633;2641.01513671875;29505.47265625;10473.623046875;48987.84765625;93904.0234375
38;2408.58740234375;0.9413317441940308;2918.8251953125;29271.865234375;10852.1337890625;50549.66015625;96002.4765625
39;2393.2373046875;0.2353329360485077;2960.5341796875;30574.306640625;11059.978515625;51383.7421875;98372.8671875
40;2975.90673828125;0.0;2697.159423828125;31381.603515625;10992.3974609375;51465.11328125;99512.625
41;2723.765625;1.8826634883880615;2689.43310546875;30719.203125;11273.5283203125;51283.87109375;98692.1796875
42;2648.5283203125;0.2353329360485077;2706.54248046875;29808.6796875;11352.3271484375;50787.08984375;97303.90625
43;2542.16796875;0.7059987783432007;2602.3095703125;29544.181640625;10458.7998046875;51380.90625;96529.0859375
44;2482.283203125;0.0;2579.89794921875;30144.640625;10687.7109375;50732.90625;96628.09375
45;2101.91455078125;0.4706658720970154;2425.216552734375;29000.14453125;10859.595703125;49677.91015625;94065.859375
46;2222.8154296875;0.0;2371.321533203125;27822.86328125;10285.2265625;49876.06640625;92578.96875
47;2226.091552734375;1.6473305225372314;2643.148193359375;29376.30078125;11191.1318359375;49586.1796875;95025.03125
48;2153.26953125;0.4706658720970154;2651.525390625;29993.185546875;10677.5107421875;50933.43359375;96409.9296875
49;2367.880126953125;1.1766645908355713;2474.04248046875;29752.134765625;11341.0458984375;49930.796875;95867.484375
50;2472.947021484375;0.2353329360485077;2711.943115234375;30913.568359375;11356.2060546875;51763.2734375;99218.7890625
51;2324.80078125;0.9413317441940308;2662.009033203125;31415.919921875;10495.041015625;50614.49609375;97513.75
52;2351.962158203125;1.8826634883880615;2628.695556640625;29910.482421875;10705.0517578125;50257.5703125;95855.84375
53;2511.941162109375;2.3533294200897217;2693.795654296875;30514.583984375;10816.8515625;51179.1640625;97719.6015625
54;2563.40966796875;1.8826634883880615;2654.289794921875;29239.890625;10802.951171875;50206.15625;95469.03125
55;2653.7236328125;1.1766647100448608;2672.769775390625;28196.505859375;10387.1533203125;50559.41796875;94470.859375
56;2282.12939453125;0.4706658720970154;2523.3271484375;28943.79296875;10575.9013671875;50491.69140625;94817.7265625
57;2493.41943359375;0.0;2645.57421875;29654.61328125;10732.0703125;50597.0234375;96123.28125
58;2714.489990234375;3.294661045074463;2720.644775390625;31057.826171875;11197.259765625;49553.17578125;97247.1015625
59;2514.272216796875;1.411997675895691;2580.767578125;30118.447265625;11153.240234375;51502.37890625;97870.9921875
60;2194.611572265625;0.7059987783432007;2873.496337890625;30033.30078125;10855.6357421875;50478.6640625;96436.890625
61;2251.61572265625;0.2353329360485077;2554.84375;28764.447265625;10392.83984375;50234.47265625;94198.5703125
62;2509.08154296875;0.7059987783432007;2875.93603515625;29372.234375;10798.775390625;49563.29296875;95120.578125
63;2615.04541015625;1.1766645908355713;2680.461669921875;29943.61328125;10338.35546875;50795.234375;96374.765625
64;2565.5517578125;2.1179964542388916;2941.61376953125;29306.322265625;10820.458984375;50555.06640625;96191.6171875
65;2584.31201171875;1.8826634883880615;2957.1640625;30660.048828125;10708.3427734375;50856.02734375;97768.4609375
66;2253.314208984375;3.765326976776123;2746.220947265625;29768.1484375;10934.5947265625;50655.1171875;96361.53125
67;2864.9736328125;1.6473305225372314;2900.7470703125;29434.42578125;11019.392578125;51393.3046875;97614.9609375
68;2430.52978515625;0.4706658720970154;2911.330810546875;31809.7109375;11152.8369140625;50691.125;98996.1171875
69;2819.390869140625;1.4119975566864014;2793.62841796875;30319.1171875;11517.265625;49971.7109375;97423.2109375
70;2776.627685546875;1.1766645908355713;2639.185302734375;31249.1796875;11473.2548828125;51231.84375;99372.09375
71;2639.257568359375;1.4119975566864014;2701.308837890625;30512.8984375;11394.7275390625;51033.015625;98282.96875
72;2415.589599609375;0.7059987783432007;2710.896728515625;30436.728515625;10938.078125;51499.91015625;98002.2890625
73;2555.072509765625;0.0;2524.1005859375;31378.154296875;10618.8740234375;50457.78515625;97534.3046875
74;2720.6220703125;1.1766645908355713;2748.591796875;31407.908203125;10764.126953125;50652.5390625;98295.7734375
75;2513.93115234375;0.0;2734.622314453125;30711.58203125;10933.7021484375;50170.50390625;97064.546875
76;2426.826416015625;0.2353329360485077;2593.877685546875;30408.041015625;10858.484375;51495.6796875;97783.4296875
77;2460.12255859375;2.3533294200897217;2449.689208984375;29603.2265625;10659.751953125;50788.94921875;95964.8984375
78;2426.586181640625;0.0;2592.0673828125;30471.791015625;11238.482421875;51174.01953125;97903.5390625
79;2578.66650390625;1.1766647100448608;2650.435302734375;31665.89453125;10870.166015625;51102.86328125;98869.9609375
80;2571.598388671875;2.8239951133728027;2832.052001953125;32055.794921875;11378.0556640625;51717.6484375;100558.3828125
81;2498.875244140625;0.9413317441940308;2594.99365234375;30423.611328125;11636.03125;51180.6640625;98335.65625
82;2483.317626953125;0.7059987783432007;2610.955322265625;30732.86328125;11260.4384765625;51032.41015625;98120.90625
83;2520.42724609375;0.2353329360485077;2774.334716796875;30040.34765625;10672.5390625;50856.0234375;96864.03125
84;2572.022705078125;0.0;2638.98095703125;30723.109375;11573.1572265625;51823.35546875;99331.5390625
85;2435.86474609375;0.9413317441940308;2430.615966796875;29716.568359375;10790.8115234375;51106.09375;96481.2890625
86;2687.311279296875;3.529994010925293;2632.036865234375;29095.578125;10461.5693359375;50423.484375;95304.1640625
87;2743.569580078125;0.9413317441940308;2511.300048828125;29319.373046875;10703.09765625;51008.671875;96287.1171875
88;2272.2099609375;1.1766647100448608;2116.26953125;28246.984375;10616.2509765625;49125.0703125;92378.3828125
89;2531.6171875;0.7059987783432007;2268.871826171875;29602.57421875;10878.4287109375;50994.68359375;96277.34375
90;2154.3271484375;0.9413317441940308;2525.255859375;29747.892578125;10583.970703125;49630.5546875;94643.0390625
91;2143.256591796875;0.7059987783432007;2439.411865234375;28865.734375;10228.62109375;49797.78125;93476.3125
92;2192.677001953125;1.411997675895691;2168.057861328125;29465.216796875;10769.796875;50132.21484375;94730.1015625
93;1949.6082763671875;0.0;2196.7373046875;29307.83203125;10907.2216796875;49925.03515625;94287.03125
94;2441.57421875;0.4706658720970154;2368.2646484375;29355.7734375;10692.2578125;51727.62890625;96586.7890625
95;2505.756103515625;0.9413317441940308;2449.91552734375;28753.58984375;10166.0126953125;49422.19921875;93298.8125
96;2126.701171875;0.4706658720970154;2569.511474609375;29534.44921875;10958.8349609375;50929.765625;96120.015625
97;2345.10693359375;3.294661045074463;2671.4111328125;30015.390625;10674.6357421875;49212.23046875;94922.71875
98;2447.282958984375;0.4706658720970154;2499.974365234375;29632.814453125;10373.109375;48908.3515625;93862.75
99;2346.7451171875;0.7059987783432007;2581.05224609375;31200.16796875;10827.345703125;50486.69921875;97443.2890625
100;2483.255126953125;1.1766645908355713;2786.8583984375;29708.6875;10881.8955078125;50969.07421875;96831.3046875
101;2543.609375;0.4706658720970154;2589.26171875;31097.958984375;10950.3994140625;51270.5;98452.96875
102;2651.36083984375;0.9413317441940308;2732.65673828125;30232.541015625;10728.68359375;49755.234375;96102.3203125
103;2253.300537109375;0.4706658720970154;2381.1015625;29346.755859375;11183.0458984375;50028.66796875;95193.9296875
104;2682.612060546875;1.6473305225372314;2676.380615234375;29541.890625;10601.818359375;50526.87890625;96031.5703125
105;2581.16845703125;0.0;2383.173095703125;28421.451171875;10232.935546875;50555.8203125;94174.78125
