STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
0;2770.970947265625;0.0;2620.0302734375;17612.78125;3552.218994140625;3961.345947265625;20526.595703125;35727.92578125;86772.421875
1;2690.5380859375;0.0;2759.82861328125;17061.580078125;4016.263671875;3822.64208984375;20359.966796875;35475.796875;86186.859375
2;2910.7822265625;0.0;2748.8857421875;16848.728515625;4066.667724609375;3716.289306640625;20288.654296875;36200.93359375;86781.609375
3;3006.70361328125;0.0;2417.634521484375;17080.29296875;3928.70361328125;3562.39794921875;21007.9609375;34824.67578125;85828.5234375
4;2691.199951171875;0.0;2691.039794921875;17102.634765625;4039.9873046875;3610.781982421875;21276.119140625;34033.46484375;85445.59375
5;2736.325439453125;0.0;2798.9755859375;15978.5546875;3896.01806640625;3651.167724609375;21061.244140625;34276.64453125;84398.9921875
6;2606.0693359375;0.0;2495.193359375;16369.4326171875;3883.797607421875;3739.494140625;21135.373046875;33970.234375;84199.953125
7;2790.613037109375;0.2353329360485077;2487.814697265625;16174.890625;3789.125244140625;3468.815185546875;20633.609375;34083.64453125;83429.125
8;2291.67041015625;0.0;2357.881591796875;16256.5791015625;3905.0107421875;3830.424560546875;21124.673828125;33840.6640625;83606.921875
9;2307.328857421875;0.0;2475.525634765625;16035.9033203125;3726.868408203125;3786.35888671875;21158.296875;34219.1484375;83709.9453125
10;2367.883056640625;0.0;2293.188720703125;15895.2744140625;3738.26611328125;3482.95166015625;21977.5234375;33064.6171875;82820.1640625
11;2141.635009765625;0.0;2274.48779296875;16697.83203125;3662.06689453125;3565.893310546875;21520.658203125;32945.3125;82807.59375
12;2153.4892578125;0.0;1953.7200927734375;16223.041015625;3926.86962890625;3634.694580078125;20552.62890625;32730.619140625;81174.9765625
13;2347.730712890625;0.0;2428.67041015625;15937.5263671875;4124.32568359375;3869.43115234375;20226.9140625;32540.08984375;81474.5859375
14;2339.10107421875;0.0;2293.326171875;16153.7529296875;4081.630615234375;3578.35546875;21184.23046875;32823.05859375;82453.484375
15;2184.562744140625;0.0;2248.37109375;16176.97265625;4023.9931640625;3314.885986328125;21653.734375;32689.103515625;82291.8671875
16;2026.611083984375;0.0;2290.997314453125;15997.3134765625;3973.95703125;3450.499267578125;20800.0234375;32278.935546875;80818.46875
17;2422.645263671875;0.0;2271.048828125;15876.86328125;3770.910400390625;3466.659423828125;20482.025390625;32062.083984375;80352.203125
18;2086.26123046875;0.0;2251.596435546875;15313.560546875;3552.1591796875;3401.256103515625;20762.048828125;32009.287109375;79376.1171875
19;2074.779296875;0.0;2091.40673828125;15133.8603515625;3727.81787109375;3460.558837890625;20168.080078125;32700.3125;79356.75
20;1978.0743408203125;0.0;2090.711181640625;14687.4228515625;3753.2060546875;3540.048583984375;21006.16796875;31864.755859375;78920.625
21;1981.75732421875;0.0;2048.400146484375;15580.2353515625;3850.5625;3515.544921875;20432.953125;32622.94921875;80032.6953125
22;1864.578857421875;0.0;2099.389404296875;15324.548828125;3454.44677734375;3614.80322265625;20677.103515625;32369.87890625;79405.078125
23;2057.53515625;0.0;2295.461669921875;15795.7724609375;3637.597412109375;3570.82958984375;20625.234375;31553.2421875;79535.9296875
24;2200.537841796875;0.0;2062.653564453125;15135.3857421875;3601.212158203125;3439.528564453125;20753.27734375;31622.89453125;78815.390625
25;2075.650390625;0.0;2150.67529296875;15569.337890625;3521.2236328125;3235.83447265625;20714.11328125;31952.798828125;79219.625
26;2234.547119140625;0.0;2165.977294921875;14855.498046875;3959.660888671875;3434.591552734375;21901.724609375;31399.033203125;79950.9453125
27;2019.98388671875;0.0;2239.082763671875;15154.3193359375;3728.13623046875;3247.83544921875;21324.689453125;31505.587890625;79219.78125
28;2171.08251953125;0.0;2249.62890625;15805.484375;3702.6318359375;3385.0693359375;21041.931640625;31344.197265625;79700.0390625
29;2029.43505859375;0.0;2294.664794921875;15032.59765625;3923.083984375;3458.456787109375;21341.580078125;31778.134765625;79858.1875
30;2448.85693359375;0.0;2222.67822265625;15252.66015625;3645.853759765625;3142.98388671875;21651.3359375;31591.19921875;79955.8203125
31;2313.4482421875;0.0;2304.521240234375;15253.3544921875;4053.96044921875;3332.16162109375;21094.8125;31395.232421875;79747.6015625
32;2252.28515625;0.0;2006.288818359375;14712.986328125;3235.258056640625;3329.79736328125;20295.71484375;31261.44921875;77093.8984375
33;1913.5166015625;0.0;2001.123291015625;15146.5576171875;3866.8583984375;3408.4267578125;20362.02734375;31802.3359375;78501.0703125
34;2247.4853515625;0.2353329360485077;2120.404052734375;15227.474609375;3717.957763671875;3147.60888671875;22047.13671875;31998.91015625;80507.21875
35;2359.119873046875;0.0;2073.9130859375;15347.3134765625;3972.040771484375;3445.971435546875;21620.15234375;31711.109375;80529.6640625
36;2181.369140625;0.0;2335.765625;15295.6552734375;3720.75390625;3475.094482421875;21454.27734375;32159.26953125;80622.0078125
37;2453.981201171875;0.0;2130.6982421875;15214.55078125;3975.90478515625;3312.827880859375;21352.771484375;30646.833984375;79087.796875
38;2324.53955078125;0.0;2328.500732421875;15321.240234375;3866.828857421875;3456.56640625;21743.328125;31580.53125;80621.8125
39;2121.279296875;0.0;2104.125;14913.7705078125;3935.13525390625;3150.11376953125;21841.06640625;31516.537109375;79581.984375
40;2335.473876953125;0.0;2311.806884765625;15210.9501953125;3870.518798828125;3362.070556640625;21121.076171875;30952.15234375;79164.171875
