STEP;C11;NP;OCB;OCC;OCW;WYC;TOTAL
0;4010.8994140625;0.2353329360485077;3174.880615234375;21135.837890625;5171.5361328125;63903.3125;97398.015625
1;4045.84326171875;0.0;3023.784912109375;21026.4296875;5564.12451171875;61536.0234375;95197.0390625
2;4045.514404296875;0.2353329360485077;2896.900146484375;20457.39453125;5260.8125;61472.515625;94134.46875
3;3914.246337890625;0.0;2985.822998046875;20167.580078125;5418.2119140625;62174.0234375;94661.109375
4;3633.91064453125;0.0;2712.45263671875;20486.515625;5327.79052734375;62402.046875;94563.828125
5;3695.29345703125;0.0;3191.130615234375;19956.78125;5196.7021484375;62411.96875;94452.9140625
6;3305.99609375;0.0;2843.733154296875;19958.390625;5303.03515625;61573.5;92985.9453125
7;3278.689453125;0.0;2666.14599609375;20278.931640625;5364.8388671875;61985.2421875;93574.8203125
8;2914.876220703125;0.9413317441940308;2573.121337890625;19745.283203125;5091.37548828125;62170.53125;92497.4609375
9;3013.489013671875;0.0;2674.546630859375;19828.916015625;5429.70703125;61316.86328125;92264.5859375
10;3136.9384765625;0.0;2619.238037109375;20101.16015625;5237.05517578125;60826.5703125;91921.6015625
11;2970.984619140625;0.0;2681.289306640625;20179.40234375;5112.0205078125;60916.015625;91860.859375
12;2984.429443359375;0.2353329360485077;2769.8720703125;20574.33984375;5166.8408203125;60906.40625;92402.5859375
13;2787.00439453125;0.0;2766.252197265625;20194.529296875;5223.45751953125;60398.875;91371.453125
14;2806.91943359375;0.4706658720970154;3058.209228515625;20488.2890625;5151.970703125;59946.4609375;91453.0
15;2716.033935546875;0.0;2800.78857421875;20464.359375;5031.3115234375;60657.63671875;91671.40625
16;2595.01806640625;0.4706658720970154;2710.25048828125;19774.103515625;5254.76123046875;60453.01171875;90788.359375
17;2763.380126953125;0.0;2774.140380859375;20374.44140625;5337.5498046875;59920.421875;91170.8984375
18;2746.8408203125;0.0;2568.11083984375;20460.7421875;5362.69677734375;60148.609375;91287.6328125
19;2765.464111328125;0.0;2583.810302734375;20340.00390625;5237.8115234375;59583.90625;90511.765625
20;2509.63916015625;0.4706658720970154;2621.71630859375;20233.296875;5583.20263671875;59399.7421875;90349.171875
21;2731.77294921875;0.0;2602.570556640625;20179.365234375;5396.71630859375;59000.34375;89911.8046875
22;2819.203369140625;0.0;2563.882080078125;20042.533203125;5678.724609375;59347.796875;90453.15625
23;2973.559326171875;0.2353329360485077;2453.609130859375;20877.17578125;5355.8583984375;59579.26953125;91240.3125
24;3105.166015625;0.0;2523.395263671875;19536.61328125;5522.25830078125;60022.234375;90710.3203125
25;2472.214599609375;0.0;2511.090087890625;20232.701171875;5225.82861328125;59909.21875;90351.953125
26;2610.95458984375;0.0;2481.0888671875;19833.72265625;5159.06787109375;60504.7578125;90590.59375
27;2631.82421875;0.4706658720970154;2652.317626953125;19738.955078125;5397.96826171875;60181.16796875;90603.6796875
28;2595.62255859375;0.2353329360485077;2689.791015625;19594.130859375;5580.0966796875;59784.38671875;90244.7109375
29;2780.198974609375;0.0;2749.66748046875;20197.66796875;5518.33203125;59983.08203125;91229.859375
30;2551.962158203125;0.0;2555.81005859375;19676.388671875;5311.98046875;59627.390625;89724.2578125
31;2752.658935546875;0.0;2526.300537109375;20191.81640625;5483.4296875;58839.875;89795.0625
32;2479.372314453125;0.0;2522.4091796875;20046.392578125;5348.9248046875;58622.61328125;89020.46875
33;2202.8486328125;0.0;2509.9892578125;19930.630859375;5266.74609375;59208.26171875;89119.34375
34;2324.1708984375;0.0;2461.760986328125;20041.08203125;5437.05908203125;59499.15234375;89763.9609375
35;2254.6142578125;0.0;2540.4140625;19572.16796875;5090.63671875;58603.1171875;88061.8515625
36;2265.33056640625;0.0;2396.677490234375;19003.306640625;5053.64013671875;58831.73046875;87551.4765625
37;2467.265380859375;0.4706658720970154;2520.19091796875;19451.908203125;4999.23046875;58895.5234375;88335.2109375
38;2674.033447265625;0.0;2333.2373046875;19243.318359375;4960.9375;58878.19140625;88090.6640625
39;2332.859130859375;0.0;2565.27685546875;19344.216796875;5180.02392578125;58653.7734375;88077.0859375
40;2378.011962890625;0.2353329360485077;2688.54443359375;19520.7109375;5257.509765625;58888.1875;88733.9765625
41;2421.19775390625;0.0;2455.228759765625;19534.10546875;5021.94580078125;58732.44921875;88165.328125
42;2413.76513671875;0.0;2284.9130859375;19528.22265625;5118.19873046875;59063.09765625;88408.984375
43;2275.120361328125;0.0;2414.9091796875;19063.40625;4888.70751953125;58264.45703125;86906.9609375
44;2721.130859375;0.0;2464.50537109375;19731.724609375;5013.8515625;59167.7109375;89099.921875
45;2586.280517578125;0.0;2454.484130859375;18888.44140625;4905.89501953125;58522.75;87358.5625
46;2552.1083984375;0.0;2419.20166015625;19747.1875;4856.12451171875;58344.16015625;87919.40625
47;2810.89306640625;0.0;2417.516357421875;19500.30078125;5043.06640625;57732.25390625;87504.546875
48;2589.34814453125;0.0;2157.939697265625;19392.328125;5164.8359375;58048.7109375;87353.7890625
49;2424.635498046875;0.0;2174.2822265625;19052.37890625;5023.3388671875;58220.44921875;86895.578125
50;2398.97705078125;0.0;2301.70361328125;18537.41796875;5008.208984375;57980.05078125;86226.75
51;2114.57373046875;0.0;2130.8583984375;18614.033203125;4922.2578125;57558.875;85341.1640625
52;2122.10205078125;0.0;2155.54833984375;18534.482421875;4998.349609375;57374.2265625;85185.3359375
53;2414.103515625;0.0;2140.253662109375;19026.2265625;5026.02294921875;56932.82421875;85540.0234375
54;2410.7001953125;0.0;2405.009033203125;19055.41796875;4800.74462890625;57809.68359375;86482.171875
55;2424.623291015625;0.0;2241.583251953125;19730.365234375;4932.24462890625;57399.98828125;86729.078125
56;2202.41748046875;0.0;2238.30615234375;18582.9375;4611.1162109375;57216.72265625;84851.78125
57;2077.39453125;0.0;2047.3984375;18902.00390625;4836.4384765625;57000.2265625;84864.171875
58;2228.309326171875;0.0;2087.52685546875;19393.822265625;4803.2705078125;57104.7890625;85618.3125
59;2376.794677734375;0.0;2367.11083984375;18300.0;4842.2216796875;57325.73046875;85212.5546875
60;2283.118408203125;0.0;2428.4140625;18185.3515625;4739.787109375;57082.640625;84719.796875
61;2263.42529296875;0.0;2409.17724609375;18802.994140625;4616.10693359375;56714.7421875;84807.1328125
62;2357.6474609375;0.0;2529.845703125;18819.38671875;4745.2939453125;57294.6015625;85747.65625
63;2537.650146484375;0.2353329360485077;2524.106201171875;19145.365234375;4989.9541015625;56720.21484375;85917.75
64;2492.7421875;0.9413317441940308;2202.465087890625;19598.50390625;5083.400390625;56708.22265625;86086.5390625
65;2149.161865234375;0.0;2405.892822265625;18156.80078125;4956.80712890625;57132.28515625;84801.2890625
66;2222.639892578125;0.0;2273.3076171875;19066.693359375;5009.41064453125;56813.7109375;85386.125
67;1976.5234375;0.0;2361.439697265625;18825.68359375;4891.09619140625;57125.75390625;85180.78125
68;2036.67138671875;0.0;2120.5712890625;18400.62890625;4638.0078125;57120.4140625;84316.8359375
69;2076.504150390625;0.2353329360485077;2207.130859375;18352.345703125;4576.537109375;57533.75390625;84747.1875
70;2040.744384765625;0.0;2091.489990234375;18519.2578125;4734.685546875;57223.62109375;84610.4296875
71;1990.527099609375;0.0;2076.7734375;18760.9765625;4970.35302734375;56849.15234375;84648.046875
72;1997.4246826171875;0.2353329360485077;2397.611572265625;18885.85546875;4796.74658203125;56603.69140625;84682.234375
73;1836.4422607421875;0.0;2261.737060546875;19286.5625;4827.27685546875;56639.23828125;84851.7734375
74;1762.75732421875;0.0;2122.39453125;19051.5703125;4990.9140625;56625.15234375;84553.3359375
75;2012.0692138671875;0.0;2362.514404296875;18704.05078125;4630.015625;57127.70703125;84836.7421875
76;1984.174072265625;0.0;2169.705810546875;19374.080078125;4464.7939453125;56600.40625;84593.7890625
77;1880.00927734375;0.0;1910.3587646484375;18914.96484375;4611.68896484375;56660.5625;83978.0546875
78;2009.5858154296875;0.0;2007.3338623046875;18800.6171875;4563.630859375;56622.89453125;84004.59375
79;1856.30126953125;0.0;2140.433349609375;18626.794921875;4450.41943359375;55910.2109375;82984.59375
80;2241.403564453125;0.0;1964.232666015625;18270.927734375;4625.0869140625;56617.37109375;83719.4296875
81;2069.8505859375;0.2353329360485077;2168.853759765625;18362.83203125;4706.37158203125;56865.60546875;84174.0546875
82;2134.65673828125;0.0;2063.9736328125;18778.005859375;4840.462890625;56371.8359375;84189.4453125
83;2126.673583984375;0.4706658720970154;2320.723388671875;18369.716796875;4724.56982421875;55283.8828125;82826.734375
84;2075.199951171875;0.0;2197.969970703125;18170.806640625;4392.806640625;55172.0859375;82009.53125
85;1815.7901611328125;0.0;2145.723876953125;17578.6171875;4466.36865234375;55287.85546875;81294.984375
86;1993.8929443359375;0.0;2184.11474609375;17614.759765625;4506.751953125;55175.75390625;81475.6875
87;1919.63330078125;0.0;1954.3394775390625;18470.34765625;4415.1982421875;55827.24609375;82587.0859375
88;1792.2559814453125;0.0;2058.177490234375;18269.115234375;4639.974609375;55646.265625;82406.3359375
89;2052.675048828125;1.411997675895691;1886.245361328125;17955.439453125;4431.43310546875;55185.3515625;81513.0546875
90;2128.42041015625;0.0;1978.17626953125;18215.46484375;4648.64990234375;55123.54296875;82094.65625
91;1933.7845458984375;0.0;1999.655029296875;17516.7109375;4351.17724609375;55011.3515625;80812.953125
92;1735.1170654296875;0.0;1902.5072021484375;17591.404296875;4462.12939453125;55376.73046875;81068.4140625
93;1805.33203125;0.2353329360485077;1835.919921875;17556.796875;4429.67529296875;55058.73046875;80687.03125
94;1928.24072265625;0.0;1940.536376953125;17692.626953125;4428.435546875;56000.00390625;81989.953125
95;1872.2301025390625;0.0;1795.6763916015625;17375.84375;4510.3076171875;55261.9453125;80816.5546875
96;2010.5859375;0.0;1913.5362548828125;18013.87890625;4571.5546875;55146.52734375;81656.4453125
97;1889.6920166015625;0.0;2023.731201171875;17386.2421875;4429.2470703125;55353.5234375;81082.6953125
98;1831.4927978515625;0.4706658720970154;1910.819091796875;17596.359375;4531.00048828125;55179.36328125;81049.8984375
