STEP;C11;NP;OCB;OCC;OCN;OCW;ONC;WYC;TOTAL
0;3728.5029296875;0.0;3414.490478515625;12949.7392578125;2832.69482421875;3995.71044921875;18284.330078125;35837.859375;81043.390625
1;3804.432373046875;0.0;3385.450439453125;13257.1474609375;2919.839111328125;3937.8095703125;17481.423828125;35743.88671875;80529.984375
2;3615.6435546875;0.0;3849.68359375;12948.8115234375;2903.2822265625;3771.967041015625;17769.75;35407.23046875;80266.3125
3;3764.789306640625;0.0;3755.098388671875;12948.6943359375;3021.3603515625;3687.23681640625;16834.4453125;35807.29296875;79819.03125
4;3375.134033203125;0.0;3377.58349609375;13046.49609375;2743.813720703125;3666.4765625;17287.724609375;35068.6953125;78565.96875
5;3563.8154296875;0.0;3625.57666015625;12999.5615234375;2553.53125;3784.2607421875;17004.36328125;35439.19140625;78970.265625
6;3364.887451171875;0.4706658720970154;3505.796875;12987.38671875;2682.94921875;3911.27001953125;16651.515625;35010.2890625;78114.453125
7;3297.475341796875;0.0;3753.54541015625;12525.9658203125;2726.941650390625;3983.876953125;17434.818359375;35006.28125;78728.875
8;3416.41552734375;1.4119975566864014;3807.04736328125;13016.7724609375;2629.262939453125;3991.951904296875;17055.37890625;34186.0625;78104.4140625
9;3801.491943359375;0.4706658720970154;3668.066650390625;13146.62109375;2499.574462890625;3972.63623046875;17248.236328125;34182.64453125;78519.6640625
10;3207.859130859375;1.1766645908355713;3440.565185546875;12436.3876953125;2498.76611328125;3820.13427734375;16968.009765625;34327.46484375;76700.5
11;3035.594970703125;0.0;3400.99658203125;12519.7587890625;2323.7392578125;3644.015869140625;17154.205078125;33714.16796875;75792.3203125
12;3150.71826171875;0.0;3317.677734375;13042.900390625;2451.238037109375;3666.6455078125;16761.654296875;33661.50390625;76052.0859375
13;3832.234375;0.0;3780.618896484375;13074.7021484375;2718.6005859375;3744.7197265625;17606.017578125;34405.36328125;79162.15625
14;3686.30322265625;0.0;3531.539306640625;13016.60546875;2574.541015625;3598.43505859375;16215.7099609375;33406.9921875;76029.984375
