STEP;C11;NP;OCB;OCC;OCW;WYC;TOTAL
0;1864.3985595703125;0.0;1007.6148071289063;7395.619140625;1553.8822021484375;16304.583984375;28126.01171875
1;1469.792724609375;0.0;934.0582885742188;7607.3564453125;1479.9451904296875;15962.033203125;27453.248046875
2;1531.13623046875;0.0;1033.4434814453125;7293.033203125;1643.620361328125;16739.0078125;28240.220703125
3;1458.9925537109375;0.0;1117.6480712890625;7520.95654296875;1555.8184814453125;16056.5322265625;27709.90234375
4;1368.457275390625;0.0;1045.3961181640625;7876.291015625;1724.09765625;16050.009765625;28064.236328125
5;1527.2349853515625;0.0;1015.0306396484375;7960.2626953125;1523.2666015625;16254.6728515625;28280.501953125
6;1391.5264892578125;0.0;962.84521484375;7521.2197265625;1725.5220947265625;15932.076171875;27533.150390625
7;1242.397705078125;0.0;735.5732421875;7442.61865234375;1586.759521484375;16150.40234375;27157.814453125
8;1221.0802001953125;0.0;854.871337890625;7455.20703125;1567.876708984375;16282.078125;27381.056640625
9;1283.3101806640625;0.0;886.9696044921875;7444.83251953125;1592.107666015625;16596.73046875;27803.98046875
10;1557.43310546875;0.0;990.247802734375;6819.814453125;1598.8006591796875;16401.3125;27367.568359375
11;1557.58251953125;0.0;964.8076782226563;6830.8642578125;1695.5400390625;16248.408203125;27297.189453125
12;1519.754638671875;0.0;1099.1292724609375;7040.59375;1667.275634765625;15603.244140625;26929.990234375
13;1393.6531982421875;0.0;1011.1650390625;6439.02783203125;1552.2130126953125;16691.177734375;27087.255859375
14;1531.2596435546875;0.0;765.9998779296875;6729.8466796875;1706.388671875;16169.7060546875;26903.19921875
15;1644.42822265625;0.7059987783432007;811.160888671875;7375.0791015625;1524.634765625;16195.1708984375;27551.1484375
16;1680.063720703125;0.0;765.5559692382813;7106.3564453125;1485.809326171875;16236.1806640625;27273.984375
17;1857.5155029296875;0.0;995.1041259765625;6920.85498046875;1476.553466796875;15986.7392578125;27236.734375
18;1688.1356201171875;0.0;885.2590942382813;6709.8662109375;1590.095458984375;16077.888671875;26951.228515625
19;1624.7413330078125;0.0;929.3626098632813;6638.2587890625;1553.751220703125;15869.919921875;26616.025390625
20;1832.712158203125;0.0;949.6304931640625;6831.40087890625;1685.998046875;15978.9169921875;27278.568359375
21;1579.6068115234375;0.0;913.4364624023438;6878.017578125;1497.2806396484375;15764.98828125;26633.298828125
22;1628.9788818359375;0.0;1004.9650268554688;6734.17626953125;1508.7459716796875;15497.7158203125;26374.599609375
23;1723.1160888671875;0.0;923.2158203125;6598.38525390625;1528.5377197265625;16058.9794921875;26832.224609375
24;1607.37548828125;0.0;1020.1904907226563;6861.05908203125;1345.0863037109375;16005.6025390625;26839.24609375
25;1623.058349609375;0.0;1124.77734375;6538.06787109375;1553.2349853515625;15748.4609375;26587.564453125
26;1888.4937744140625;0.0;944.5120849609375;6670.892578125;1399.174072265625;15891.6474609375;26794.7421875
27;1596.791748046875;0.0;897.3825073242188;6345.876953125;1541.5809326171875;15306.615234375;25688.208984375
28;1464.544677734375;0.0;933.9090576171875;6737.103515625;1557.3780517578125;15939.763671875;26632.671875
29;1141.09423828125;0.0;903.9569091796875;6454.568359375;1687.9866943359375;15001.8466796875;25189.439453125
30;1347.4530029296875;0.0;881.2215576171875;6555.44189453125;1506.7696533203125;15341.81640625;25632.697265625
31;1255.6009521484375;0.7059987783432007;823.7830810546875;6200.6962890625;1392.7232666015625;15680.310546875;25353.80078125
32;1315.61328125;0.0;715.7265625;6471.24560546875;1599.5189208984375;15650.6142578125;25752.7265625
33;1234.121337890625;0.0;815.1528930664063;6498.97900390625;1584.19677734375;15289.1591796875;25421.623046875
34;1307.6976318359375;0.0;682.7211303710938;6674.87890625;1554.3843994140625;15268.876953125;25488.546875
35;1218.0213623046875;0.0;705.0610961914063;6590.83447265625;1455.8472900390625;15355.6416015625;25325.330078125
36;1055.780029296875;0.0;560.4253540039063;6452.17626953125;1496.4593505859375;15214.451171875;24779.3046875
37;1090.6373291015625;0.0;647.903076171875;6787.7529296875;1568.6278076171875;14928.552734375;25023.48046875
38;1165.707763671875;0.0;646.6959838867188;7078.35400390625;1501.275390625;15093.37109375;25485.40234375
39;1015.201171875;0.0;719.6503295898438;7134.40625;1613.0032958984375;14797.208984375;25279.47265625
40;1041.7230224609375;0.0;664.0018310546875;7063.62646484375;1557.1085205078125;14540.6435546875;24867.09375
41;1187.7947998046875;0.0;800.2786865234375;6940.798828125;1557.02734375;14475.5205078125;24961.423828125
42;1253.5751953125;0.0;798.9622192382813;7012.599609375;1209.8631591796875;14749.5390625;25024.517578125
43;1130.99951171875;0.0;894.7005004882813;6987.42431640625;1367.5240478515625;14960.2314453125;25340.849609375
44;1167.0186767578125;0.0;824.5291137695313;6871.96728515625;1539.184814453125;15179.0244140625;25581.712890625
45;1191.1103515625;0.2353329360485077;897.325439453125;6997.60791015625;1512.9844970703125;14944.87109375;25544.142578125
46;1005.6194458007813;0.0;803.5302124023438;7180.9326171875;1608.4676513671875;15299.7685546875;25898.28515625
47;1096.036376953125;0.0;626.2860717773438;7054.5927734375;1366.5614013671875;15099.3564453125;25242.890625
48;1033.3636474609375;0.0;698.3818359375;6785.47021484375;1624.1988525390625;15258.138671875;25399.576171875
49;1084.8466796875;0.0;737.2484741210938;7408.5498046875;1669.6553955078125;15399.150390625;26299.421875
50;1119.8272705078125;0.9413317441940308;742.989990234375;6753.58251953125;1530.737548828125;15358.87890625;25506.927734375
51;1007.1976318359375;0.0;788.8423461914063;7479.5927734375;1670.578857421875;15517.7880859375;26464.009765625
52;1193.9793701171875;0.0;811.8795166015625;7848.33056640625;1610.1883544921875;15272.490234375;26736.865234375
53;1144.150146484375;0.0;738.3624877929688;7054.30517578125;1677.7396240234375;15136.4150390625;25750.94921875
54;1383.2891845703125;0.0;574.3797607421875;6793.21826171875;1609.246826171875;15317.63671875;25677.748046875
55;1322.4215087890625;0.0;865.4552612304688;7185.5654296875;1657.6832275390625;15165.9609375;26197.10546875
56;1480.105712890625;0.0;678.8286743164063;7464.6064453125;1496.861083984375;14820.9140625;25941.3046875
57;1239.82666015625;0.0;745.4972534179688;6574.35546875;1731.3463134765625;15030.099609375;25321.09765625
58;1284.758056640625;0.0;798.67822265625;6849.86181640625;1811.6214599609375;15473.1103515625;26218.01171875
59;1341.5438232421875;0.0;648.5193481445313;6787.46435546875;1605.618896484375;15070.896484375;25454.029296875
60;1311.282470703125;0.4706658720970154;663.4388427734375;6962.67626953125;1482.879150390625;15071.38671875;25492.138671875
61;1278.9676513671875;0.0;794.0888061523438;6731.080078125;1419.5653076171875;15607.6650390625;25831.43359375
62;1279.5631103515625;0.4706658720970154;726.1439208984375;6984.35107421875;1560.4638671875;15416.52734375;25967.53125
63;1179.5145263671875;0.0;639.576171875;7383.677734375;1564.2608642578125;15158.4814453125;25925.486328125
64;1154.4290771484375;1.1766645908355713;630.3416137695313;7128.6044921875;1646.5989990234375;15532.0595703125;26093.16015625
65;1004.0357055664063;0.9413317441940308;572.1408081054688;6873.2958984375;1523.9669189453125;15212.125;25186.51171875
66;1117.8116455078125;0.0;713.7542114257813;7088.6875;1557.7327880859375;15185.890625;25663.861328125
67;970.236328125;0.2353329360485077;696.3267822265625;7009.7919921875;1573.6480712890625;15283.8681640625;25534.1171875
68;1043.31884765625;0.0;638.0885009765625;7094.197265625;1476.6375732421875;15504.6318359375;25756.857421875
69;1174.3441162109375;0.0;672.8202514648438;7023.0322265625;1492.7236328125;15250.8505859375;25613.794921875
70;1153.951171875;0.0;594.4061889648438;7153.1552734375;1645.5303955078125;15726.0546875;26273.111328125
71;1224.79150390625;0.0;664.359375;7291.91015625;1576.686767578125;15215.4560546875;25973.205078125
72;1136.23291015625;0.0;760.942138671875;7235.01025390625;1545.634765625;15113.576171875;25791.376953125
73;1028.413818359375;0.0;740.6495361328125;7102.6005859375;1434.2340087890625;15268.73828125;25574.619140625
74;1126.52783203125;0.0;785.0518188476563;7133.89501953125;1723.0335693359375;14868.6279296875;25637.109375
75;1196.0181884765625;0.0;759.9065551757813;6879.6181640625;1602.7039794921875;14933.5458984375;25371.794921875
76;1129.3883056640625;0.0;861.8277587890625;7408.93115234375;1624.3658447265625;14711.630859375;25736.09375
77;1228.2872314453125;0.0;754.9662475585938;7429.7216796875;1590.9200439453125;14792.3671875;25796.232421875
78;1212.981201171875;0.0;769.8081665039063;7371.9775390625;1604.6005859375;14671.7333984375;25631.08984375
79;1187.475341796875;0.7059987783432007;681.8799438476563;7321.68603515625;1615.4837646484375;14351.0859375;25158.32421875
80;1109.8016357421875;0.0;829.9827270507813;7314.044921875;1578.3719482421875;14064.9658203125;24897.146484375
81;1082.61376953125;0.2353329360485077;709.7210083007813;7479.05517578125;1484.3533935546875;14061.6630859375;24817.6328125
82;986.1368408203125;0.0;1013.94921875;7205.69091796875;1583.6280517578125;14691.0068359375;25480.333984375
83;1224.6903076171875;0.0;920.4635009765625;7335.95458984375;1398.760498046875;14564.8994140625;25444.7578125
84;1394.40185546875;0.0;854.371337890625;7064.2724609375;1413.0682373046875;14582.62109375;25308.740234375
85;1000.70849609375;0.0;792.1958618164063;7329.0234375;1507.523681640625;14277.66796875;24907.1484375
86;985.2815551757813;0.7059987783432007;673.9718627929688;7314.7060546875;1500.7672119140625;14705.1474609375;25180.51953125
87;1077.7064208984375;0.0;604.58642578125;7352.783203125;1518.629150390625;14718.41796875;25272.13671875
88;1143.770751953125;0.0;715.3092041015625;6560.2099609375;1557.5390625;14383.8017578125;24360.6015625
89;1158.1328125;0.0;891.5158081054688;7386.4619140625;1441.6839599609375;14429.3330078125;25307.12109375
90;1183.7686767578125;0.0;781.6865234375;6949.21240234375;1410.9102783203125;14516.1455078125;24841.689453125
91;1333.5335693359375;0.0;669.2822875976563;6930.07568359375;1623.29931640625;14730.1953125;25286.41015625
92;1093.3912353515625;0.0;677.0405883789063;6746.24560546875;1585.5616455078125;14255.337890625;24357.576171875
93;1350.051025390625;0.0;664.6322631835938;6974.599609375;1440.3155517578125;14767.7001953125;25197.31640625
94;1241.4755859375;0.0;668.0186157226563;7282.548828125;1616.3831787109375;14141.4345703125;24949.802734375
95;1387.2667236328125;0.0;609.7191772460938;7509.81884765625;1545.439453125;14399.544921875;25451.80078125
96;1157.5677490234375;0.0;620.0789184570313;7282.57958984375;1568.5640869140625;14369.25;24998.064453125
97;1195.79833984375;0.0;563.0888061523438;7449.0966796875;1364.7879638671875;14268.748046875;24841.5703125
98;1116.4755859375;0.0;623.69921875;7098.4931640625;1421.6087646484375;14302.9150390625;24563.2109375
99;1204.98193359375;0.0;613.7288818359375;6776.439453125;1422.161376953125;14713.361328125;24730.70703125
100;1205.430908203125;0.0;452.1142578125;6804.3486328125;1621.4027099609375;14763.814453125;24847.09375
101;1286.92431640625;0.0;552.9280395507813;7676.6025390625;1634.9775390625;14662.6552734375;25814.06640625
102;1269.1019287109375;0.0;623.2302856445313;7426.01953125;1574.3695068359375;14313.185546875;25205.9453125
103;1077.8526611328125;0.0;579.812744140625;7634.32177734375;1419.6634521484375;14137.224609375;24848.86328125
104;1038.1016845703125;0.0;631.0613403320313;7324.97705078125;1339.9342041015625;14173.3271484375;24507.412109375
105;1015.1904907226563;0.0;664.8466796875;7472.4384765625;1348.17578125;14087.1142578125;24587.69921875
106;1173.843017578125;0.2353329360485077;699.1326293945313;7645.14306640625;1485.2562255859375;14355.8330078125;25359.484375
107;1164.1474609375;0.0;775.47998046875;7181.11083984375;1436.1165771484375;14519.84375;25076.73046875
108;1100.552734375;0.0;809.3204956054688;7217.23486328125;1584.582763671875;14182.2333984375;24893.87890625
