STEP;C11;NP;OCB;OCC;OCW;WYC;TOTAL
0;2874.8916015625;3.294661045074463;2095.308349609375;15449.5595703125;4096.59130859375;41366.296875;65885.3671875
1;2913.5087890625;0.0;2133.459228515625;14865.1396484375;4009.774658203125;40537.6328125;64459.203125
2;2745.310791015625;0.0;2011.1807861328125;14535.4267578125;3909.19921875;40708.5625;63909.33203125
3;2770.85595703125;0.7059987783432007;2102.4267578125;14372.0263671875;4130.1005859375;40240.80078125;63616.625
4;2441.525390625;0.0;2325.484130859375;14307.6669921875;3966.42724609375;39910.6953125;62951.57421875
5;2621.59765625;0.7059987783432007;2131.17626953125;14718.8505859375;4180.57861328125;40124.4609375;63777.015625
6;2481.9912109375;1.6473305225372314;1927.6055908203125;14551.6181640625;4093.2294921875;39611.68359375;62667.2578125
7;2536.41259765625;0.0;2026.949951171875;13966.6796875;3929.42236328125;40010.80078125;62469.83984375
8;2397.80517578125;0.0;1898.8629150390625;14491.755859375;3894.665771484375;40015.33203125;62697.97265625
9;2287.70654296875;0.0;1923.8956298828125;14755.513671875;3944.336181640625;39873.859375;62785.0
10;2341.23974609375;0.0;1898.1878662109375;15022.42578125;3810.40283203125;40199.86328125;63271.74609375
11;2422.122314453125;1.1766647100448608;1874.87353515625;15135.9697265625;3857.657470703125;39920.3125;63211.6171875
12;2685.21044921875;0.4706658720970154;2171.095947265625;15652.66015625;3815.249267578125;39438.92578125;63763.234375
13;2463.653564453125;0.7059987783432007;1921.37060546875;15112.0927734375;3951.5673828125;38934.09765625;62383.03125
14;2372.7841796875;0.0;2165.594970703125;15329.009765625;3813.397705078125;38992.11328125;62672.40625
15;2189.087646484375;0.9413317441940308;1932.0574951171875;15431.59765625;3599.631103515625;38585.94140625;61738.93359375
16;2325.00390625;0.7059987783432007;2016.9141845703125;14578.75390625;3592.474365234375;37795.328125;60308.7265625
17;2234.005615234375;2.5886623859405518;1826.0213623046875;14709.4169921875;3717.45703125;37738.12109375;60227.25390625
18;2203.566650390625;0.0;1926.2459716796875;14958.6181640625;3654.497314453125;37532.4765625;60274.90234375
19;2152.54443359375;0.0;1783.4927978515625;14572.46875;3628.23828125;37357.94921875;59494.42578125
20;2155.5673828125;3.294661045074463;1939.938232421875;14924.2705078125;3703.847412109375;37550.04296875;60276.58984375
21;2130.792236328125;0.0;2121.2529296875;14529.9560546875;3689.138427734375;37665.65625;60136.421875
22;2194.10791015625;0.0;1958.1470947265625;14511.7158203125;3911.548828125;37794.27734375;60369.3359375
23;2248.89013671875;0.0;1886.311767578125;14476.02734375;3871.137939453125;37488.19140625;59970.2421875
24;2161.27001953125;0.0;1838.9136962890625;14588.501953125;3711.865966796875;37220.546875;59520.671875
25;2132.841796875;0.0;1954.1217041015625;14265.486328125;3452.172607421875;36840.93359375;58645.25390625
26;1944.07275390625;0.2353329360485077;1970.44287109375;13911.478515625;3558.184326171875;36883.0625;58267.06640625
27;1794.2718505859375;0.0;1851.24658203125;13919.087890625;3739.128173828125;37217.92578125;58521.2734375
28;1820.8302001953125;0.2353329360485077;1706.4539794921875;14242.6083984375;3707.804931640625;36397.8125;57875.49609375
29;1913.016845703125;0.0;1827.916015625;14070.79296875;3458.23876953125;36730.4921875;58000.0390625
30;1821.9671630859375;0.0;1755.4041748046875;14380.05078125;3794.718017578125;36956.17578125;58707.90625
31;1633.0595703125;0.0;1747.1077880859375;13913.3818359375;3639.9228515625;36132.453125;57065.42578125
32;1565.427734375;0.0;1775.439697265625;13765.4267578125;3718.44091796875;36553.15625;57377.52734375
33;1480.7640380859375;0.2353329360485077;1915.751220703125;13714.0439453125;3775.443115234375;35857.59375;56743.43359375
34;1719.9989013671875;0.4706658720970154;1977.360595703125;14405.8056640625;3435.578369140625;35803.71875;57342.52734375
35;1780.2320556640625;0.0;1758.499267578125;14122.9853515625;3572.32763671875;36136.73046875;57370.359375
36;1647.78564453125;0.7059987783432007;1722.7811279296875;13331.4609375;3648.151611328125;35918.37109375;56268.96484375
37;1688.990234375;0.0;2043.42626953125;14102.0224609375;3614.70458984375;35936.98046875;57385.828125
38;1868.968505859375;0.0;1881.943115234375;13381.4638671875;3393.50732421875;36053.1875;56578.7109375
39;1750.5126953125;0.0;1772.768798828125;14035.7197265625;3529.635986328125;36039.41015625;57127.6484375
40;1649.9736328125;0.0;1785.5841064453125;13436.013671875;3279.010498046875;36274.8125;56424.9765625
41;1830.5484619140625;0.0;1696.1136474609375;13709.1328125;3500.776611328125;36141.37109375;56877.67578125
42;1660.9334716796875;0.0;1957.6217041015625;13753.654296875;3484.054443359375;36114.28125;56970.19921875
43;1810.017333984375;0.0;1860.781494140625;13883.431640625;3639.646728515625;36087.50390625;57280.76171875
44;1603.9049072265625;0.0;1825.3564453125;14095.9990234375;3418.428955078125;36695.97265625;57639.34375
45;1786.126708984375;0.0;1922.886474609375;13509.9091796875;3467.634521484375;36173.00390625;56859.109375
46;1467.5491943359375;0.2353329360485077;1781.0833740234375;13286.9189453125;3262.653076171875;36305.14453125;56103.328125
47;1565.328369140625;0.0;1886.9381103515625;13848.890625;3395.71630859375;36084.6328125;56781.2265625
48;1528.3076171875;0.0;1801.1318359375;14280.5595703125;3276.310791015625;35715.05859375;56600.984375
49;1502.2423095703125;0.0;1741.582275390625;13750.28125;3601.49072265625;36027.875;56623.0546875
50;1501.7100830078125;0.0;1697.7796630859375;13693.2119140625;3591.534423828125;35820.75390625;56304.6875
51;1543.33154296875;0.0;1613.395751953125;14308.76171875;3484.72900390625;35996.9765625;56946.98046875
52;1461.1365966796875;0.0;1500.2701416015625;13518.474609375;3333.457763671875;36036.76171875;55850.015625
53;1438.4173583984375;0.0;1563.95849609375;13669.943359375;3388.407470703125;35515.01953125;55575.54296875
54;1431.021240234375;0.0;1663.600830078125;14030.2783203125;3328.672119140625;35503.70703125;55956.80859375
55;1378.3687744140625;0.0;1554.3155517578125;13758.650390625;3733.237548828125;35454.94140625;55879.08984375
56;1400.9312744140625;0.0;1520.4368896484375;13592.759765625;3565.0458984375;35653.98046875;55732.7734375
57;1530.8963623046875;0.0;1529.0887451171875;13401.798828125;3524.047119140625;35855.68359375;55841.0859375
58;1414.00732421875;0.0;1472.6842041015625;13454.34765625;3782.638916015625;35362.33984375;55485.62109375
59;1633.8173828125;0.2353329360485077;1780.9381103515625;13390.439453125;3556.357177734375;35674.37109375;56035.78515625
60;1396.42236328125;0.0;1875.3228759765625;13814.248046875;3541.379150390625;35898.625;56525.5625
61;1474.409912109375;0.2353329360485077;1757.77490234375;13655.46875;3330.12451171875;36590.71875;56808.28125
62;1281.298095703125;0.0;1791.3519287109375;14100.880859375;3586.4384765625;35774.859375;56534.5703125
63;1403.35888671875;0.0;1758.6513671875;14314.4501953125;3425.06005859375;35914.54296875;56815.5859375
64;1653.9310302734375;0.0;1872.5697021484375;13972.119140625;3551.988525390625;35834.61328125;56884.98046875
65;1829.6649169921875;0.2353329360485077;1575.8564453125;14632.3828125;3485.21728515625;35623.83984375;57146.87109375
66;1513.4898681640625;0.2353329360485077;1699.2396240234375;14119.689453125;3403.68310546875;36286.78515625;57022.66015625
67;1383.206298828125;0.0;1638.34765625;13736.1953125;3240.13037109375;35375.52734375;55373.12109375
68;1531.0421142578125;0.0;1786.5814208984375;13898.716796875;3309.0078125;35884.375;56409.28515625
69;1620.91259765625;0.0;1672.85986328125;14012.44140625;3504.0830078125;35823.92578125;56633.83984375
70;1391.9901123046875;0.0;1640.6090087890625;13449.4404296875;3360.09326171875;35697.09375;55538.76171875
71;1435.1019287109375;0.0;1626.490966796875;13335.095703125;3213.566162109375;35413.8125;55023.69140625
72;1277.18798828125;0.0;1805.926025390625;13743.0029296875;3151.98291015625;35553.8359375;55531.5390625
73;1450.1485595703125;0.0;1801.851318359375;13689.8681640625;3116.669921875;35340.0546875;55398.44140625
74;1605.4681396484375;0.0;1693.50146484375;14130.787109375;3325.801025390625;35352.0546875;56107.359375
75;1418.9974365234375;0.0;1722.4617919921875;13740.9833984375;3318.734619140625;35763.390625;55964.18359375
76;1297.38427734375;0.0;1544.7772216796875;13720.0224609375;3462.30322265625;35288.4453125;55312.50390625
77;1403.939453125;0.0;1527.408935546875;14019.2451171875;3352.014404296875;35764.97265625;56067.20703125
78;1314.7567138671875;0.0;1791.8294677734375;14011.2197265625;3228.47802734375;35590.39453125;55936.234375
79;1232.2374267578125;0.4706658720970154;1664.7862548828125;14099.3603515625;3440.30029296875;35972.66015625;56409.34765625
80;1685.647705078125;0.0;1831.47314453125;14160.8505859375;3127.396484375;35419.4609375;56224.48046875
81;1549.8780517578125;0.0;1758.6666259765625;13584.3359375;3452.381591796875;35717.0;56061.765625
82;1639.8177490234375;0.0;1749.5986328125;13405.669921875;3196.2724609375;35573.765625;55564.92578125
83;1527.86376953125;0.0;1689.9405517578125;13766.962890625;3418.455810546875;35796.86328125;56199.7734375
84;1429.841064453125;0.0;1752.0091552734375;13991.052734375;3181.09326171875;35871.41015625;56224.98828125
85;1420.91064453125;0.0;1637.94384765625;13862.8515625;3208.033935546875;35727.734375;55857.13671875
86;1494.92919921875;0.2353329360485077;1582.231201171875;13732.0927734375;3426.596923828125;35573.41796875;55809.16015625
87;1547.0635986328125;0.0;1736.4945068359375;12703.220703125;3394.130126953125;35714.6328125;55095.02734375
88;1342.6807861328125;0.0;1812.867431640625;13129.138671875;3263.177734375;35797.04296875;55344.59765625
89;1642.9190673828125;0.0;1822.814453125;13533.65625;3123.654052734375;35356.43359375;55479.0546875
90;1466.820556640625;0.0;1639.5982666015625;13844.9814453125;3391.3046875;35538.515625;55880.6796875
91;1566.524658203125;0.0;1776.22998046875;13298.7763671875;3231.682373046875;36122.01953125;55994.9140625
92;1501.439453125;0.4706658720970154;1888.6094970703125;12960.6689453125;3437.91943359375;35837.328125;55626.20703125
93;1431.11962890625;1.1766647100448608;1712.97705078125;13552.013671875;3418.7392578125;35767.49609375;55883.12109375
94;1385.7742919921875;0.0;1620.6646728515625;12895.5126953125;3354.845947265625;35442.16015625;54698.72265625
95;1365.764404296875;0.0;1659.461669921875;13114.3515625;3357.6806640625;35351.9765625;54848.82421875
96;1568.9608154296875;0.2353329360485077;1682.219970703125;13465.4296875;3560.89892578125;35219.07421875;55496.55078125
97;1371.87158203125;0.0;1794.8973388671875;13552.833984375;3456.639892578125;35353.75;55529.6875
98;1376.0230712890625;0.2353329360485077;1779.5064697265625;13248.4638671875;3708.662353515625;35318.3359375;55430.9296875
99;1473.01025390625;1.411997675895691;1961.3270263671875;13102.130859375;3406.70751953125;35362.2265625;55306.3046875
100;1391.649658203125;0.4706658720970154;1792.7208251953125;13327.7978515625;3264.36376953125;35236.21875;55012.921875
101;1425.8253173828125;0.0;1776.4576416015625;13162.5185546875;3464.720458984375;35248.5625;55077.625
102;1546.87548828125;0.0;1922.4224853515625;13295.001953125;3406.173828125;34565.69140625;54735.8515625
103;1439.4581298828125;0.0;1892.90234375;13623.169921875;3514.132568359375;34875.65625;55345.01171875
104;1544.819091796875;0.0;1854.7315673828125;13656.2490234375;3575.3076171875;35532.58203125;56163.46875
105;1625.1719970703125;0.0;1659.5450439453125;13449.267578125;3584.35546875;35304.03515625;55622.02734375
106;1660.4376220703125;0.0;1719.8504638671875;13818.1826171875;3419.771728515625;34786.53515625;55404.34375
107;1337.1376953125;0.4706658720970154;1608.3958740234375;13648.0673828125;3667.0791015625;35007.78515625;55268.7578125
108;1380.01904296875;0.0;1638.83056640625;13743.46875;3589.73486328125;34465.34375;54817.11328125
109;1461.8896484375;0.0;1548.4737548828125;13124.6044921875;3587.31396484375;34642.20703125;54364.15625
110;1537.1939697265625;0.0;1822.7193603515625;13255.0791015625;3240.885009765625;34870.265625;54725.71875
111;1640.0377197265625;0.0;1857.9183349609375;13230.61328125;3534.345947265625;34339.8984375;54602.4453125
112;1582.6126708984375;0.0;1862.814697265625;13310.51171875;3414.634521484375;34842.1796875;55012.2109375
113;1737.561767578125;0.9413317441940308;1894.4053955078125;13216.3330078125;3197.908203125;34792.18359375;54839.0234375
114;1449.5443115234375;0.2353329360485077;1774.94873046875;13072.048828125;2989.27294921875;34442.6640625;53728.421875
115;1468.759521484375;0.0;1634.9443359375;13216.6142578125;3270.5;34795.40234375;54385.86328125
116;1622.22314453125;0.0;1570.247314453125;13104.8046875;3395.33251953125;35017.4296875;54709.62890625
117;1462.55712890625;0.0;1675.7716064453125;13117.9970703125;3457.892822265625;35055.9765625;54769.99609375
118;1571.17333984375;0.0;1745.7840576171875;13751.484375;3294.62548828125;35040.8671875;55403.640625
