STEP;C11;NP;OCB;OCC;OCW;WBL;WYC;TOTAL
0;2428.368896484375;0.7059987783432007;2386.494384765625;23650.30078125;9763.8134765625;5356.486328125;34265.8671875;77852.28125
1;2197.40283203125;0.0;2070.58837890625;23528.263671875;10347.796875;5339.47119140625;34197.8828125;77681.40625
2;2081.746826171875;0.0;2254.379638671875;22721.037109375;10245.748046875;5437.59130859375;34963.125;77703.546875
3;2051.66943359375;0.0;2364.29638671875;23223.359375;10049.30859375;5353.73974609375;33623.59375;76665.9453125
4;2079.217529296875;0.0;2253.385498046875;23139.115234375;9678.283203125;5341.47216796875;34121.0546875;76612.5703125
5;2025.07861328125;0.7059987783432007;2570.475341796875;23330.80859375;9677.4111328125;5333.77587890625;33896.37109375;76834.65625
6;2127.2763671875;0.0;2445.230224609375;22896.76953125;10224.5185546875;5587.84130859375;33664.77734375;76946.421875
7;2074.01953125;0.0;2344.845458984375;22470.283203125;10285.310546875;5529.439453125;33250.5625;75954.5078125
8;2021.220458984375;0.0;2123.67041015625;23702.197265625;10505.6142578125;5236.84326171875;33487.6171875;77077.3046875
9;2117.080810546875;0.0;2072.6630859375;22786.623046875;10284.8916015625;5248.35888671875;33555.4296875;76065.1640625
10;1762.043701171875;0.0;2097.34619140625;22710.720703125;9659.9228515625;5090.263671875;33377.671875;74697.7109375
11;1792.1651611328125;0.0;2034.1270751953125;22305.244140625;9644.4794921875;5095.4853515625;33113.22265625;73984.8203125
12;1843.360107421875;0.0;2229.189208984375;22991.62109375;9420.9091796875;5525.8896484375;32409.365234375;74420.359375
13;1715.41845703125;0.0;2299.143310546875;23109.78515625;9521.279296875;5499.06689453125;32214.279296875;74358.703125
14;1713.13720703125;0.0;1906.841064453125;22777.14453125;9430.8212890625;5016.36083984375;32609.380859375;73453.8515625
15;1568.3819580078125;0.0;1940.532470703125;21401.16796875;9308.8740234375;5174.9873046875;32800.19140625;72193.9765625
16;1427.5067138671875;0.2353329360485077;1806.9122314453125;22619.3046875;9800.005859375;5858.65283203125;31995.30859375;73507.9296875
17;1642.0738525390625;0.2353329360485077;1960.4246826171875;22384.23046875;9810.8251953125;5595.1220703125;31456.529296875;72849.3671875
18;1511.65087890625;0.2353329360485077;2198.92431640625;23262.609375;9823.59765625;5795.67724609375;31517.876953125;74110.4921875
19;1657.5716552734375;0.0;2377.22998046875;22854.126953125;10224.2021484375;5644.39306640625;31369.48828125;74127.1015625
20;1784.9189453125;0.0;1843.5340576171875;21878.21875;9908.2265625;5354.47314453125;32500.078125;73269.2734375
21;1729.956787109375;0.0;1935.9141845703125;22216.92578125;9479.36328125;5765.79931640625;32007.857421875;73135.828125
22;1564.076416015625;0.0;2063.797119140625;22365.0;9743.0146484375;5168.384765625;31836.943359375;72740.9609375
23;1606.0916748046875;0.0;2032.44677734375;22521.99609375;9690.0478515625;5311.24267578125;31085.546875;72247.0546875
24;1535.476806640625;0.0;1882.647216796875;21482.724609375;9723.9638671875;5340.61669921875;31365.14453125;71330.453125
25;1600.615478515625;0.0;1607.715087890625;21426.384765625;8604.2265625;5558.71826171875;30814.486328125;69611.859375
26;1546.98974609375;0.0;1733.415283203125;20802.79296875;9510.6318359375;5432.80615234375;31012.68359375;70039.125
27;1567.12451171875;0.0;1802.060302734375;22037.869140625;9492.69921875;5782.1416015625;30298.583984375;70980.2890625
28;1677.415283203125;0.0;1929.7041015625;22464.9609375;9383.3447265625;5746.10888671875;30189.830078125;71391.125
29;1676.9627685546875;0.0;1956.2646484375;21804.873046875;9502.25;5851.8125;30959.390625;71751.1875
30;1355.8759765625;0.0;1983.50732421875;22491.96484375;9145.3408203125;5492.66259765625;31240.84375;71710.015625
31;1598.5362548828125;0.2353329360485077;2157.20654296875;22719.837890625;10068.376953125;5761.283203125;30514.947265625;72820.25
32;1510.6075439453125;0.0;2074.33642578125;22041.69921875;9916.9296875;5623.9833984375;30449.806640625;71617.0859375
33;1413.9166259765625;0.0;1951.1236572265625;21893.03515625;9653.525390625;5923.27880859375;30477.78515625;71312.3828125
34;1504.8798828125;0.2353329360485077;2078.8193359375;22466.509765625;9762.048828125;5812.05615234375;30470.14453125;72094.4921875
35;1605.57763671875;0.0;2044.9620361328125;22379.759765625;9677.1552734375;5475.43896484375;29889.275390625;71071.90625
36;1598.64599609375;0.0;1854.88330078125;22630.59765625;9103.337890625;5780.84375;29930.052734375;70898.2109375
37;1672.830810546875;0.0;1819.8668212890625;23084.892578125;9681.64453125;5243.390625;29858.16796875;71360.6875
