STEP;C11;NP;OCB;OCC;OCN;OCZ;ONC;ZIL;TOTAL
0;2042.0196533203125;0.0;2205.087646484375;17059.54296875;3651.632568359375;4681.7548828125;20946.501953125;23863.71875;74450.1875
1;1931.071044921875;0.0;2388.099365234375;16578.318359375;3758.956787109375;4585.79248046875;20250.271484375;24143.119140625;73635.3671875
2;2113.029541015625;0.0;2499.3642578125;16706.228515625;3447.689697265625;4799.07861328125;20670.001953125;23388.931640625;73624.09375
3;2078.296875;0.0;2270.75830078125;17136.734375;3916.808837890625;5015.87158203125;20263.458984375;23347.623046875;74029.390625
4;1929.93798828125;0.0;2038.256103515625;16471.494140625;3552.60205078125;4870.400390625;20538.3828125;23059.830078125;72460.625
5;1832.1435546875;0.0;2146.123046875;16490.287109375;3644.476318359375;4745.87353515625;21357.458984375;22999.904296875;73215.9375
6;2066.55517578125;0.9413317441940308;2037.8079833984375;16474.447265625;3682.5498046875;4832.96728515625;21195.310546875;22125.8515625;72416.25
7;2206.249755859375;0.0;2166.623779296875;16308.7783203125;3885.516357421875;4638.2861328125;21493.701171875;22429.015625;73127.859375
8;1979.759033203125;0.0;1951.2099609375;15601.2890625;3788.531494140625;4819.81640625;21520.193359375;22200.171875;71860.6875
9;1925.0701904296875;0.0;2064.744140625;15377.201171875;3585.95458984375;5043.79345703125;21166.08984375;22458.732421875;71621.5
10;1763.4603271484375;0.2353329360485077;1974.132568359375;15651.68359375;3929.382568359375;4838.3857421875;21220.056640625;21591.83984375;70968.796875
11;1844.806884765625;0.4706658720970154;2033.6134033203125;15790.22265625;3534.899169921875;4899.404296875;21695.279296875;21703.6171875;71501.8671875
12;1969.96728515625;0.0;1729.8896484375;15255.568359375;4070.956298828125;4859.43701171875;21878.392578125;21361.005859375;71124.9296875
13;1747.786376953125;0.0;1676.95458984375;15415.91015625;3708.21923828125;4543.75927734375;21522.73046875;20982.080078125;69596.9921875
14;1882.138916015625;0.0;1723.391845703125;14949.9873046875;3845.285400390625;4422.85400390625;21899.134765625;20737.619140625;69460.109375
15;1845.466064453125;0.0;1626.7376708984375;15331.9306640625;3523.866455078125;4539.865234375;21653.896484375;20470.638671875;68991.8203125
16;1517.7462158203125;0.0;1867.6937255859375;16402.4375;3878.1728515625;4801.9599609375;21240.748046875;20446.28125;70154.5390625
17;1716.826416015625;0.0;2071.601806640625;16390.90234375;3474.131103515625;4708.4169921875;21860.912109375;20194.154296875;70416.484375
18;2096.6923828125;0.0;1958.5277099609375;16487.833984375;3739.604248046875;4814.55224609375;22316.4296875;19208.048828125;70621.34375
19;2151.061767578125;0.2353329360485077;1886.8812255859375;15776.931640625;3936.612548828125;4610.6240234375;22335.771484375;19673.68359375;70371.3828125
20;2048.92431640625;0.0;2058.882568359375;16578.42578125;4309.658203125;4756.49560546875;21716.94921875;19301.0078125;70770.2578125
21;1656.31640625;0.0;2195.720458984375;15865.390625;3923.919921875;4408.5146484375;22665.12890625;18922.1875;69636.6171875
22;1717.1142578125;0.0;1820.004150390625;16350.8203125;3823.398681640625;4771.1015625;22392.6640625;19073.69140625;69948.40625
23;2004.4989013671875;0.0;1899.951904296875;16586.232421875;3780.93798828125;4858.34716796875;23161.056640625;18958.677734375;71249.4453125
24;1829.61572265625;0.2353329360485077;1810.570068359375;16422.771484375;3791.625244140625;4921.8564453125;22257.951171875;18852.091796875;69886.5
25;1538.252197265625;0.4706658720970154;1935.88623046875;16625.9453125;3783.76806640625;5118.34228515625;22606.375;18534.2265625;70142.9765625
26;1889.904541015625;0.0;1893.4979248046875;16036.5673828125;4081.917236328125;5129.962890625;21985.65625;18727.224609375;69744.40625
27;1517.619140625;0.0;1860.39794921875;16343.0322265625;3925.365478515625;4861.26513671875;22209.3125;17910.10546875;68626.7578125
28;1645.2462158203125;0.4706658720970154;2054.434326171875;15919.654296875;3817.44775390625;5029.9951171875;22345.447265625;18928.361328125;69740.484375
29;1674.676025390625;0.0;1909.0062255859375;15656.548828125;3811.78125;4935.81201171875;21822.8671875;18571.16015625;68381.53125
30;1543.459228515625;0.2353329360485077;1881.71923828125;15732.6826171875;4220.3251953125;5092.3896484375;23077.673828125;17702.48046875;69250.4921875
31;1696.2637939453125;0.2353329360485077;1723.0386962890625;15644.7265625;3591.893310546875;4905.40869140625;22899.23828125;18134.865234375;68595.265625
32;1547.85205078125;0.4706658720970154;1736.2930908203125;16307.8203125;3966.334716796875;4706.65625;22988.455078125;17950.779296875;69204.2578125
33;1432.6876220703125;0.0;1631.9669189453125;15508.046875;4068.940673828125;4745.65380859375;22116.345703125;17949.1484375;67452.4765625
34;1445.7049560546875;0.0;1772.3843994140625;16097.6025390625;3663.0068359375;4878.5673828125;22155.80078125;17962.435546875;67975.2734375
35;1421.9451904296875;0.0;1637.330078125;16050.404296875;3658.66259765625;4733.06591796875;23027.71875;18095.34765625;68623.9609375
36;1423.504638671875;0.0;1699.4114990234375;15700.404296875;3842.65087890625;4959.6015625;22103.8125;17684.037109375;67412.8984375
37;1343.3231201171875;0.0;1491.7774658203125;16520.287109375;3932.418701171875;4844.2021484375;22959.177734375;18037.177734375;69128.1875
38;1360.941162109375;0.0;1623.4742431640625;17086.662109375;3925.6552734375;4752.68359375;22146.744140625;16840.23046875;67735.859375
39;1296.1126708984375;0.0;1503.7957763671875;16669.63671875;4192.103515625;4876.14501953125;22978.390625;17096.90625;68612.859375
40;1536.983642578125;0.0;1680.62646484375;16430.71484375;3912.23193359375;4704.4833984375;21667.814453125;17075.21875;67007.5859375
41;1569.1060791015625;0.0;1576.6019287109375;15869.6298828125;3839.60009765625;4770.541015625;22489.400390625;16657.759765625;66772.28125
42;1698.52880859375;0.0;1635.009033203125;16584.396484375;4061.76708984375;4807.17138671875;22400.45703125;17110.287109375;68297.28125
43;1775.6009521484375;0.0;1486.854736328125;15997.6787109375;4000.409912109375;4705.33056640625;22961.236328125;16043.900390625;66970.6796875
44;1357.1160888671875;0.0;1483.391845703125;15680.8779296875;3983.780029296875;4610.67431640625;23354.935546875;16648.75390625;67119.203125
45;1473.6500244140625;0.0;1301.0040283203125;15492.7578125;3894.482666015625;4448.142578125;22272.044921875;16831.74609375;65713.4296875
46;1541.6131591796875;0.0;1430.72900390625;16308.8369140625;3946.70849609375;4764.75732421875;22594.1640625;17091.1953125;67677.6484375
47;1431.10205078125;0.0;1574.0889892578125;15816.068359375;3990.1552734375;4536.5966796875;23281.21875;17414.41796875;68043.21875
48;1326.0367431640625;0.0;1585.5858154296875;15355.5498046875;3958.177978515625;4892.52197265625;22996.16015625;16933.90234375;67047.5546875
49;1322.0184326171875;0.0;1475.8876953125;16133.3642578125;4056.048095703125;4621.5908203125;23122.5078125;17096.525390625;67827.59375
50;1189.6893310546875;0.0;1562.489990234375;15891.8828125;3707.187744140625;4686.873046875;23313.462890625;16815.455078125;67166.7109375
51;1374.9453125;0.0;1571.9420166015625;15889.9345703125;4051.916015625;4682.72802734375;22689.064453125;16716.033203125;66976.03125
52;1250.2567138671875;0.0;1403.363525390625;16080.5732421875;3673.653076171875;4884.2099609375;22867.09375;16923.369140625;67082.0546875
53;1141.787841796875;0.0;1504.107421875;15647.2236328125;3776.677978515625;5037.03857421875;22870.453125;16666.404296875;66643.1953125
54;1337.9705810546875;0.7059987783432007;1530.8214111328125;16011.9072265625;3951.405029296875;4644.78466796875;22045.107421875;16122.650390625;65644.8828125
55;1298.0614013671875;0.0;1366.49755859375;15641.7998046875;3987.827392578125;4721.70703125;22460.28515625;16150.736328125;65626.59375
56;1329.8505859375;0.2353329360485077;1568.6817626953125;15346.822265625;4134.62451171875;4844.70947265625;23307.279296875;15972.609375;66504.3984375
57;1160.6658935546875;0.0;1408.5267333984375;15596.3466796875;4075.450927734375;4668.68359375;23199.31640625;15847.2890625;65955.8671875
58;1064.976806640625;0.0;1610.3082275390625;15386.2490234375;4179.23193359375;5055.79345703125;23708.130859375;15652.529296875;66656.6484375
59;1093.8614501953125;0.0;1521.2696533203125;15846.90625;4108.78125;4575.17236328125;22952.69140625;15063.099609375;65161.49609375
60;1152.0755615234375;0.0;1612.087158203125;16069.4873046875;4259.5517578125;4728.2646484375;23685.046875;16015.5068359375;67521.59375
61;1302.3511962890625;0.2353329360485077;1469.6116943359375;16509.3046875;4247.0068359375;4562.19775390625;23844.326171875;15545.48828125;67480.2421875
62;1352.52734375;0.0;1558.4400634765625;16142.5556640625;4019.295166015625;4747.490234375;22942.654296875;14922.2392578125;65684.71875
63;1186.769775390625;0.0;1644.7086181640625;15808.91015625;4042.5537109375;4537.29248046875;23430.580078125;15004.7275390625;65655.1875
64;1309.3472900390625;0.9413317441940308;1667.2034912109375;15542.939453125;3796.9296875;4671.2939453125;23757.685546875;15057.8330078125;65803.5625
65;1048.1492919921875;0.0;1537.6207275390625;16328.4228515625;3900.5341796875;4673.9580078125;23105.14453125;15272.55078125;65865.9921875
66;1274.3223876953125;0.0;1646.606689453125;15583.7841796875;3893.44091796875;4819.013671875;23898.76171875;15216.490234375;66331.90625
67;1259.0335693359375;0.4706658720970154;1737.1864013671875;15872.9921875;3940.004638671875;5007.80029296875;24049.162109375;14843.5830078125;66709.9609375
68;1216.3927001953125;0.0;1328.8631591796875;16440.76953125;4062.893310546875;4713.31201171875;23347.376953125;14590.7578125;65699.84375
69;1231.0709228515625;0.0;1382.9322509765625;16558.57421875;3747.037353515625;4726.2939453125;23030.5390625;14521.1640625;65197.1796875
70;1098.1473388671875;0.0;1310.4447021484375;16127.0537109375;3781.70263671875;4651.69921875;23071.49609375;14757.5771484375;64797.6484375
71;1070.020751953125;0.2353329360485077;1278.8851318359375;16099.998046875;4136.4755859375;4706.02978515625;23358.29296875;14809.3134765625;65458.83203125
72;1263.559814453125;0.0;1198.936279296875;16566.12109375;4011.9541015625;4952.4638671875;22662.087890625;14614.1708984375;65268.8359375
73;1134.583740234375;0.0;1498.659912109375;16860.61328125;3871.18212890625;4942.376953125;24313.03125;14479.328125;67099.453125
74;1101.887451171875;0.0;1392.4395751953125;16173.412109375;3863.2568359375;4783.17919921875;23710.212890625;14996.158203125;66020.2109375
