STEP;C11;NP;OCB;OCC;OCN;OCZ;ONC;ZIL;TOTAL
0;3309.085205078125;0.0;3200.614501953125;12933.6728515625;2582.251708984375;4571.98779296875;17720.404296875;25673.515625;69991.359375
1;3071.917236328125;0.0;3396.245361328125;12942.763671875;2474.0478515625;4725.56201171875;17566.55859375;24884.375;69061.109375
2;2881.39697265625;0.0;3562.9375;12198.349609375;2337.09375;4890.11767578125;16273.9052734375;24572.0078125;66715.0390625
3;2775.77099609375;0.0;3359.329345703125;12454.1376953125;2451.10888671875;4919.72265625;17206.5078125;24179.8125;67345.8515625
4;3185.404052734375;0.4706658720970154;3386.021484375;11851.146484375;2789.106201171875;4626.61767578125;17160.779296875;23922.50390625;66921.4296875
5;2591.6357421875;0.0;3110.650390625;12233.1435546875;2430.58447265625;4573.8271484375;16843.994140625;23632.861328125;65416.08203125
6;2483.195556640625;0.0;3292.677001953125;12803.1337890625;2565.487060546875;4675.56884765625;16883.99609375;23714.185546875;66417.546875
7;2441.04443359375;0.0;3037.395263671875;12338.95703125;2584.599365234375;4608.90576171875;17527.43359375;24046.03515625;66583.6796875
8;2643.0556640625;0.0;3024.727294921875;12730.783203125;2533.546142578125;4755.69384765625;17205.70703125;23678.91796875;66571.7265625
9;2563.936767578125;0.0;3017.971923828125;12684.4501953125;2457.30615234375;4862.0009765625;17195.99609375;23608.978515625;66390.171875
10;2295.96337890625;0.0;2964.504150390625;12307.322265625;2343.22998046875;4407.369140625;17192.8984375;22814.47265625;64325.03125
11;2473.4306640625;0.0;2932.684814453125;12289.25390625;2607.1748046875;4626.3740234375;17056.595703125;22820.205078125;64805.265625
12;2650.076416015625;0.0;3194.90625;12876.0048828125;2541.114990234375;4651.818359375;17349.11328125;22864.666015625;66127.1015625
13;2547.3720703125;0.0;2999.111328125;12821.158203125;2672.802978515625;4839.80078125;17717.296875;22550.443359375;66147.4140625
14;2709.49462890625;0.0;3093.63623046875;12616.703125;2540.751708984375;4690.01220703125;17809.17578125;22470.67578125;65929.78125
15;2672.686279296875;0.0;2904.998046875;12567.451171875;2488.5888671875;4708.83544921875;17955.869140625;22450.396484375;65748.140625
16;2160.0810546875;0.0;2685.0654296875;12286.482421875;2593.57666015625;4908.4775390625;17383.892578125;21819.76171875;63836.7734375
17;2774.18603515625;0.0;2936.891845703125;12386.4609375;2495.648681640625;4735.236328125;17344.96484375;21943.310546875;64616.07421875
18;2438.04345703125;0.2353329360485077;2575.4765625;11764.044921875;2378.453369140625;4641.50634765625;17829.140625;21909.89453125;63536.234375
19;2461.63720703125;0.0;2802.1162109375;11942.078125;2330.030029296875;4717.009765625;17878.484375;21954.251953125;64085.21484375
20;2653.86083984375;0.0;2886.185302734375;11894.5185546875;2464.5380859375;4548.70947265625;17863.12890625;21519.39453125;63829.71875
21;2513.206298828125;0.0;2878.93212890625;11956.0625;2282.4248046875;4694.35693359375;17980.341796875;21440.21875;63744.91796875
22;2249.878173828125;0.2353329360485077;2885.19287109375;11996.2890625;2348.37109375;4609.4111328125;17344.04296875;21178.390625;62611.23828125
23;2520.987548828125;0.0;2748.137451171875;11919.28125;2351.5556640625;4713.30712890625;17512.966796875;21492.439453125;63258.13671875
24;2575.386474609375;0.0;2686.158203125;12316.6064453125;2334.648193359375;4925.82666015625;17191.6640625;20818.103515625;62847.83203125
25;2715.2607421875;0.0;2695.312255859375;12180.7998046875;2328.805419921875;4796.328125;17797.447265625;20824.798828125;63338.14453125
26;2417.689208984375;0.0;2665.178466796875;12126.7431640625;2271.232421875;4754.1494140625;18134.7421875;21141.830078125;63511.00390625
27;2412.801513671875;0.0;2641.814697265625;11605.8837890625;2346.60498046875;4877.57958984375;18307.4453125;21383.9296875;63575.4609375
28;2404.401123046875;0.0;2872.527099609375;11982.1943359375;2275.70556640625;4654.2060546875;18125.552734375;21115.609375;63429.65234375
29;2284.8515625;0.0;3043.43798828125;12221.330078125;2492.8798828125;4590.8388671875;18022.478515625;21943.19921875;64598.37109375
30;2215.03173828125;0.0;3089.1396484375;11992.5234375;2277.64306640625;4715.99755859375;18316.998046875;21606.845703125;64213.59375
31;2068.13525390625;0.0;3102.1298828125;11430.267578125;2332.947509765625;4835.9033203125;17913.603515625;21613.2734375;63295.76953125
32;2592.53125;0.0;3153.186767578125;12201.80078125;2485.6201171875;4604.66357421875;18295.74609375;20509.802734375;63842.6953125
33;2504.77978515625;0.0;2910.268310546875;11950.8505859375;2761.836181640625;4382.6181640625;18531.017578125;21072.68359375;64113.46875
34;2506.3212890625;0.0;2803.197265625;12258.4501953125;2422.53271484375;4372.72412109375;18056.505859375;21145.40625;63564.60546875
35;2304.494384765625;0.0;2858.087646484375;12031.7021484375;2838.949951171875;4360.14453125;18385.912109375;21134.009765625;63912.5078125
36;2320.90087890625;0.2353329360485077;2809.24462890625;12045.724609375;2679.20703125;4426.369140625;18541.90234375;20477.921875;63301.01171875
37;2150.12255859375;0.0;3161.39501953125;12413.7685546875;2232.197509765625;4516.5615234375;18483.353515625;20299.724609375;63256.48046875
38;2325.328125;0.0;2932.6259765625;12513.515625;2729.16650390625;4767.802734375;18822.48828125;20442.158203125;64532.28515625
39;2038.2894287109375;0.0;3078.487548828125;12274.2587890625;2537.78662109375;4690.98974609375;18681.794921875;21095.96484375;64396.9765625
40;2069.3798828125;0.0;3136.150634765625;11525.9228515625;2766.17626953125;4559.5166015625;18057.98828125;21086.33984375;63200.921875
41;2197.264892578125;0.0;2864.524658203125;11673.509765625;2565.338623046875;4776.83056640625;18437.546875;21012.33984375;63526.7421875
42;1915.2127685546875;0.0;2939.179931640625;11480.1533203125;2476.9296875;4403.0126953125;17855.970703125;20903.25;61973.07421875
43;1968.538818359375;0.0;2826.2177734375;11577.5927734375;2479.5791015625;4579.58984375;17614.44140625;21053.166015625;62098.46484375
44;2037.9405517578125;0.2353329360485077;3089.83642578125;11278.8095703125;2468.04541015625;4637.54833984375;17905.197265625;20462.736328125;61879.73828125
45;1820.8096923828125;0.0;2838.636474609375;11994.7001953125;2208.704833984375;4298.94091796875;17381.19921875;20419.140625;60961.44140625
46;2189.466552734375;0.0;2943.13330078125;11238.2646484375;2608.7802734375;4419.3671875;17877.650390625;19566.869140625;60842.91015625
47;2217.560302734375;0.0;2846.343994140625;11631.861328125;2605.896484375;4293.13330078125;18333.65234375;19884.63671875;61812.46484375
48;1868.669677734375;0.9413317441940308;3005.883056640625;11479.642578125;2510.405517578125;4475.79248046875;18529.740234375;19582.708984375;61453.4375
49;1953.1580810546875;0.0;3203.001708984375;11495.8583984375;2463.43359375;4556.10546875;18859.060546875;19558.669921875;62088.7109375
50;2003.80859375;0.0;2957.454345703125;11550.0400390625;2567.567626953125;4594.869140625;18947.462890625;19317.19921875;61937.89453125
51;2428.37939453125;0.0;2922.99365234375;11844.6044921875;2527.502685546875;4769.45458984375;19105.283203125;19441.712890625;63039.4453125
52;2297.1357421875;0.0;2893.653076171875;11611.0;2585.336669921875;4664.2470703125;18654.017578125;18792.5859375;61497.26953125
53;2022.871337890625;0.0;3022.22265625;11812.451171875;2450.564453125;4407.578125;18139.6328125;18910.150390625;60764.82421875
54;2176.883056640625;0.0;2910.65283203125;11775.2626953125;2582.66162109375;4482.61083984375;18477.98828125;18661.650390625;61067.07421875
