STEP;C11;NP;OCB;OCC;OCE;OCN;ONC;ZOR;TOTAL
0;2296.626953125;0.0;2347.748779296875;15174.7880859375;2957.06982421875;3720.149169921875;22160.283203125;27769.208984375;76425.765625
1;2226.358154296875;0.2353329360485077;2242.435546875;15401.5380859375;2904.6728515625;3875.243896484375;22106.462890625;27205.744140625;75962.3515625
2;2304.564208984375;0.7059987783432007;2425.568115234375;15611.3193359375;3201.30224609375;3684.349365234375;21802.962890625;26962.419921875;75992.875
3;2270.529296875;0.0;2292.041259765625;15445.7421875;2885.20068359375;3522.57568359375;22112.51171875;26757.22265625;75285.6875
4;2059.521484375;0.2353329360485077;2504.359130859375;16010.955078125;2822.053955078125;3819.734130859375;22995.84765625;26394.248046875;76606.6640625
5;2329.209716796875;0.9413317441940308;2312.28173828125;14871.4306640625;2677.72216796875;4042.5068359375;21397.1796875;26578.166015625;74209.140625
6;2024.6561279296875;0.0;2141.961181640625;15475.9638671875;2915.03955078125;3870.44873046875;22078.59765625;26230.681640625;74737.2734375
7;2160.20263671875;0.0;2109.103271484375;14955.3232421875;2893.012451171875;3942.503173828125;21485.41796875;26459.048828125;74004.4765625
8;2203.54541015625;0.0;2167.693359375;15335.72265625;2848.129150390625;3859.831298828125;22091.2265625;25693.326171875;74199.2578125
9;2039.318115234375;0.2353329360485077;2425.596923828125;15825.345703125;2989.978759765625;3559.515380859375;22380.150390625;26353.16015625;75573.109375
10;2158.260498046875;0.0;2594.677978515625;16230.998046875;2859.244873046875;3819.369384765625;22204.4921875;25817.123046875;75684.03125
11;1971.282958984375;0.0;2349.091064453125;16176.0380859375;2655.59716796875;3915.6611328125;21984.1328125;25413.291015625;74465.0546875
12;1980.396484375;0.0;2336.3662109375;15689.9453125;2728.77197265625;3929.273681640625;22123.76953125;25719.818359375;74508.0
13;2202.1279296875;0.0;2430.965087890625;16000.5126953125;3148.87744140625;3898.934814453125;22556.958984375;25238.912109375;75477.0546875
14;2053.791748046875;0.4706658720970154;2317.15576171875;15866.6865234375;2838.93603515625;3890.891845703125;22046.970703125;25179.103515625;74193.890625
15;2027.1761474609375;0.0;2383.931640625;16362.7705078125;2807.515625;3907.839111328125;22201.771484375;25349.775390625;75040.609375
16;1784.0472412109375;0.0;2287.775634765625;15860.001953125;2838.711669921875;3889.41796875;21907.25;25231.302734375;73798.2890625
17;1630.288818359375;0.0;2074.7001953125;14907.796875;2977.637939453125;4327.599609375;21651.80078125;25235.060546875;72804.6875
18;1873.77099609375;0.2353329360485077;2285.98486328125;15310.2099609375;2732.23193359375;4016.77783203125;21908.05859375;24830.765625;72957.7265625
19;1545.6771240234375;0.2353329360485077;2174.683349609375;15446.552734375;2797.643310546875;4099.21240234375;23021.40234375;25036.103515625;74121.28125
20;1724.087158203125;0.2353329360485077;2108.4560546875;14983.2392578125;3070.734130859375;3895.45361328125;22645.890625;24844.123046875;73272.1640625
21;1583.048828125;0.0;2228.883544921875;14547.185546875;2834.427734375;4134.39453125;21817.48046875;24023.94921875;71169.046875
22;1506.6571044921875;0.0;2134.224853515625;14110.28515625;2893.62158203125;4032.811767578125;22048.353515625;24104.783203125;70830.53125
23;1462.666015625;0.0;2019.1944580078125;14369.3017578125;2764.667724609375;4095.2734375;22918.884765625;24275.107421875;71904.734375
24;1603.20751953125;0.0;1992.0140380859375;14726.6884765625;2895.387939453125;4183.6982421875;22197.5390625;23517.125;71115.4609375
