STEP;C11;NP;OCB;OCC;OCE;OCN;ONC;ZOR;TOTAL
0;2708.802734375;0.2353329360485077;2389.590087890625;21287.765625;2527.783203125;4980.68798828125;24841.048828125;24990.982421875;83727.1328125
1;2470.73779296875;0.4706658720970154;2100.134521484375;20875.470703125;2577.732666015625;5196.08154296875;24298.62109375;25025.9609375;82545.296875
2;2464.12646484375;1.1766647100448608;2191.409423828125;20873.6953125;2528.17822265625;5032.3017578125;25839.2890625;24848.943359375;83779.3984375
3;2251.459716796875;0.0;2085.865478515625;20279.322265625;2519.712890625;4938.9892578125;24837.28515625;24417.54296875;81330.0390625
4;2087.59375;0.0;2132.275146484375;20249.63671875;2358.317138671875;4810.02294921875;24888.7734375;23941.908203125;80468.453125
5;2151.893310546875;0.0;2280.9150390625;20523.1328125;2326.63134765625;5325.73193359375;24635.646484375;24303.546875;81547.5703125
6;2124.4140625;0.0;2233.53759765625;20618.740234375;2322.09912109375;5299.3251953125;25317.22265625;24025.07421875;81940.515625
7;1865.1695556640625;0.0;2007.2598876953125;20777.138671875;2278.270751953125;5004.12939453125;25426.283203125;24007.68359375;81366.03125
8;2104.37548828125;0.0;2240.93115234375;21419.61328125;2233.022216796875;4961.34521484375;24793.271484375;24165.072265625;81917.4140625
9;2270.13818359375;0.0;2305.5927734375;21256.046875;2167.563232421875;4999.75634765625;24923.212890625;24333.654296875;82255.9609375
10;2493.368896484375;0.2353329360485077;2253.041015625;22019.232421875;2614.77294921875;5273.1015625;25156.44140625;24673.564453125;84483.8359375
11;2419.677490234375;0.0;2184.705810546875;20826.57421875;2482.6640625;4940.1044921875;24612.150390625;24211.517578125;81677.109375
12;2097.790771484375;0.2353329360485077;2236.836181640625;20256.5625;2267.523681640625;5184.06494140625;24651.85546875;23866.77734375;80561.484375
13;2113.380126953125;0.0;1944.7591552734375;20438.181640625;2192.54541015625;5139.93359375;25159.30859375;23016.080078125;80003.9921875
14;1912.5191650390625;0.2353329360485077;1605.61962890625;20233.861328125;2114.547607421875;5011.42724609375;24633.802734375;22970.662109375;78482.609375
15;1600.005615234375;0.0;1733.137451171875;20574.16015625;2407.4150390625;5317.78955078125;25911.583984375;23105.1171875;80649.296875
16;2002.3040771484375;0.0;1876.7310791015625;21306.111328125;2213.779052734375;5333.37646484375;26307.990234375;22164.30859375;81204.6015625
17;2095.528564453125;0.0;1956.43896484375;21288.140625;2270.2763671875;5118.84716796875;26343.642578125;22773.84375;81846.7578125
18;2211.1435546875;0.2353329360485077;1881.587158203125;21399.138671875;2336.615966796875;5179.20361328125;24324.0546875;22558.275390625;79890.171875
19;2369.587890625;0.0;2026.7535400390625;20474.67578125;2543.221923828125;5175.91796875;25446.615234375;22610.583984375;80647.453125
20;1884.1287841796875;0.0;1865.621337890625;20488.38671875;2567.33740234375;4872.599609375;25272.833984375;22151.671875;79102.6328125
21;1663.7449951171875;0.2353329360485077;1902.9796142578125;20493.111328125;2424.787109375;4859.50390625;25363.484375;22906.396484375;79614.2890625
22;1996.3099365234375;0.2353329360485077;1798.5777587890625;20555.07421875;2515.25341796875;5228.2939453125;24878.91796875;22892.87890625;79865.4765625
23;1972.4444580078125;0.0;1870.87353515625;19897.341796875;2433.915283203125;4858.52734375;24685.30859375;22844.220703125;78562.734375
24;2003.237060546875;0.0;1815.8856201171875;20910.8046875;2379.7490234375;4881.2783203125;25122.111328125;23356.2421875;80469.1875
25;2056.3935546875;0.0;2035.05810546875;20955.4140625;2274.092041015625;5039.4033203125;24287.2890625;23048.03125;79695.3515625
26;1980.0845947265625;0.0;2261.798583984375;21646.859375;2531.261962890625;5145.71728515625;25675.892578125;22630.46875;81871.875
27;1906.227783203125;0.0;2123.5380859375;21481.828125;2249.019287109375;5510.27783203125;25532.212890625;22450.6796875;81253.8046875
28;1681.75634765625;0.2353329360485077;1983.275390625;21511.0859375;2174.439208984375;5407.00048828125;26082.66796875;22645.115234375;81485.625
29;1670.002685546875;0.0;1912.8406982421875;20814.583984375;2372.036865234375;5126.76806640625;25971.5234375;22193.830078125;80061.3125
30;1859.4384765625;0.0;1786.488037109375;20392.0234375;2284.96142578125;5402.76123046875;26052.337890625;22528.044921875;80305.8359375
31;1986.0294189453125;0.0;1717.2000732421875;20130.984375;2329.786376953125;5222.1708984375;25604.73828125;22252.369140625;79243.2421875
32;1675.1116943359375;0.0;1702.028564453125;20588.97265625;2297.46728515625;5377.07763671875;26108.439453125;21475.21875;79224.265625
33;1761.5413818359375;0.0;1917.143310546875;21078.126953125;2363.380615234375;5276.607421875;26225.076171875;21981.384765625;80603.1484375
34;1805.763671875;0.0;1538.54052734375;20500.388671875;2392.14794921875;4936.35009765625;26397.68359375;21921.94140625;79492.5078125
35;1819.9608154296875;0.0;1963.16015625;21627.21875;2513.75146484375;5207.31396484375;26069.291015625;22217.90625;81418.765625
